step,ax,ay,az
0,0.008880575187504292,0.006605586037039757,9.816200256347656
1,2.3855128288269043,0.0034676101058721542,9.81759262084961
2,2.3089547157287598,0.004283993039280176,9.812633514404297
3,2.226088523864746,0.003589274361729622,9.81861400604248
4,2.15328049659729,0.0032943682745099068,9.813429832458496
5,2.0707504749298096,0.0005241721519269049,9.811888694763184
6,1.997327208518982,0.0018041784642264247,9.811646461486816
7,1.918615698814392,-0.001035901834256947,9.810752868652344
8,1.846885085105896,0.004728743806481361,9.809537887573242
9,1.7771788835525513,0.008370675146579742,9.8114652633667
10,1.7066683769226074,0.0024343987461179495,9.80891227722168
11,1.639176845550537,0.007542956154793501,9.809029579162598
12,1.5772494077682495,0.0008554939995519817,9.80143928527832
13,1.5098211765289307,0.002337480429559946,9.813408851623535
14,1.447669506072998,-0.00038041314110159874,9.805347442626953
15,1.3796268701553345,0.0008491746848449111,9.811274528503418
16,1.3271675109863281,0.005198778584599495,9.803177833557129
17,1.2736061811447144,-0.0001546490384498611,9.8068265914917
18,1.209470510482788,0.0025343557354062796,9.809642791748047
19,1.1624090671539307,0.005614633671939373,9.806036949157715
20,1.1143808364868164,0.008374591358006,9.809440612792969
21,1.0641416311264038,0.010610044002532959,9.811087608337402
22,1.0133461952209473,0.009104629047214985,9.812516212463379
23,0.9668281674385071,0.01020816434174776,9.814939498901367
24,0.9260843396186829,0.0061890440993011,9.808649063110352
25,0.8791758418083191,0.0031592638697475195,9.81401538848877
26,0.8426785469055176,0.005019135307520628,9.812630653381348
27,0.8058551549911499,0.004388079978525639,9.810813903808594
28,0.7687153220176697,0.0026963429991155863,9.813350677490234
29,0.7310651540756226,0.003991100005805492,9.813438415527344
30,0.6970918774604797,0.007841480895876884,9.813446998596191
31,0.6642876863479614,0.010910335928201675,9.80971622467041
32,0.6310410499572754,0.008595789782702923,9.805800437927246
33,0.5951952338218689,0.01298974547535181,9.81334114074707
34,0.5686269402503967,0.00988069362938404,9.811973571777344
35,0.5444954633712769,0.0025235144421458244,9.812590599060059
36,0.5223497152328491,0.008632509037852287,9.817090034484863
37,0.4964788258075714,0.014083807356655598,9.811821937561035
38,0.4719862639904022,0.01331594679504633,9.814078330993652
39,0.44749101996421814,0.00830596312880516,9.810134887695312
40,0.4264535903930664,0.010385418310761452,9.808653831481934
41,0.4018871486186981,0.0051972889341413975,9.809380531311035
42,0.3843153715133667,0.009472353383898735,9.812450408935547
43,0.36680611968040466,0.005658348556607962,9.804986000061035
44,0.36305633187294006,0.004914958029985428,9.80138111114502
45,0.33373668789863586,0.00658688647672534,9.805481910705566
46,0.31995946168899536,0.006328520830720663,9.810346603393555
47,0.30570054054260254,0.0031059831380844116,9.804116249084473
48,0.2877241373062134,0.0031417084392160177,9.8047513961792
49,0.2717573940753937,0.004439076408743858,9.802352905273438
50,0.2580571472644806,0.002663093153387308,9.80298900604248
51,0.24773740768432617,0.002008762676268816,9.799629211425781
52,0.233154296875,0.0031547981780022383,9.799524307250977
53,0.22394028306007385,0.0027171478141099215,9.800883293151855
54,0.2107260823249817,0.00628756545484066,9.80001163482666
55,0.2024233341217041,0.004728436470031738,9.801023483276367
56,0.18944689631462097,0.007201049011200666,9.805964469909668
57,0.18021444976329803,0.0022373206447809935,9.797504425048828
58,0.17092500627040863,0.002332017756998539,9.800661087036133
59,0.16196107864379883,0.0038678827695548534,9.797500610351562
60,0.15292923152446747,0.0005750112468376756,9.804670333862305
61,0.14497226476669312,0.0037518292665481567,9.799638748168945
62,0.13538183271884918,0.007495180703699589,9.796178817749023
63,0.12434106320142746,0.009207947179675102,9.79833984375
64,0.1260431706905365,0.01374000497162342,9.799833297729492
65,0.11928330361843109,0.005745237693190575,9.79595947265625
66,0.11343516409397125,0.01210545189678669,9.803705215454102
67,0.10616479814052582,0.010732715018093586,9.800844192504883
68,0.10015123337507248,0.007600655313581228,9.80844497680664
69,0.09407216310501099,0.006866218522191048,9.803662300109863
70,0.09930767118930817,0.00811908207833767,9.798192024230957
71,0.09497470408678055,0.013031119480729103,9.800310134887695
72,0.0839279517531395,0.0049345470033586025,9.805453300476074
73,0.08434613049030304,0.006362376268953085,9.807099342346191
74,0.07801559567451477,0.0053930762223899364,9.799057960510254
75,0.0732855424284935,0.01360184047371149,9.803998947143555
76,0.07404647022485733,0.008665638044476509,9.804356575012207
77,0.06254476308822632,-0.0018586646765470505,9.797833442687988
78,0.06375811994075775,0.0023530800826847553,9.802331924438477
79,0.06244058907032013,0.003091796999797225,9.802692413330078
80,0.053416069597005844,-0.0003418384585529566,9.801298141479492
81,0.05777924507856369,0.0052804043516516685,9.797252655029297
82,0.049091044813394547,0.004413982387632132,9.800629615783691
83,0.053153146058321,0.005977225489914417,9.803924560546875
84,0.04441986232995987,0.005931388586759567,9.806000709533691
85,0.04583723470568657,0.009804368019104004,9.813823699951172
86,0.039663542062044144,0.015738407149910927,9.80812931060791
87,0.04075898230075836,0.008613236248493195,9.807869911193848
88,0.03718699887394905,0.008483893238008022,9.809548377990723
89,0.03542305529117584,0.003629059996455908,9.80872917175293
90,0.034578677266836166,0.010896283201873302,9.80963134765625
