seed,runtime_seconds,pos_rmse_total,pos_rmse_x,pos_rmse_y,pos_rmse_z,vel_rmse_total,vel_rmse_x,vel_rmse_y,vel_rmse_z,final_position_error,nees_full_avg,nees_full_lower,nees_full_upper,nees_full_percent_inside,nees_full_is_consistent,nees_pos_avg,nees_pos_lower,nees_pos_upper,nees_pos_percent_inside,nis_dvl_avg,nis_dvl_lower,nis_dvl_upper,nis_dvl_percent_inside,nis_depth_avg,nis_depth_lower,nis_depth_upper,nis_depth_percent_inside,nis_acoustic_avg,nis_acoustic_lower,nis_acoustic_upper,nis_acoustic_percent_inside
0,10.636478943997645,0.3240647613828383,0.2567243735159128,0.19763985407641596,0.0070038342092865686,0.06930814569762583,0.051297091695348455,0.04392205989546228,0.015591026206820789,0.37412543126380005,8.515418525208922,5.91266388956588,6.087967543205353,66.16666666666666,False,5.063213944918525,2.9383368160929217,3.0622946141559546,69.39999999999999,2.991319531563258,2.8629948972790666,3.1401621530530086,92.83333333333333,0.44909874339163663,0.9495782701487872,1.0517076859912249,95.96062457569586,0.42820257827489383,0.6722349042629772,1.391820439665056,93.22033898305084
1,10.758920303000195,0.5011790003554134,0.4708428977131924,0.17159287915860155,0.006575704704241357,0.05826683811600229,0.04463247933150381,0.035228429735607455,0.012724934228619065,0.5637206682154704,7.4590340470377,5.91266388956588,6.087967543205353,69.28333333333333,False,4.167779905850729,2.9383368160929217,3.0622946141559546,76.14999999999999,3.0460377972709476,2.8629948972790666,3.1401621530530086,90.91666666666667,0.43265350471076497,0.9495613665954841,1.0517254631133421,96.02581521739131,0.37004717664447506,0.6722349042629772,1.391820439665056,94.91525423728814
2,10.584253305001766,0.6141490895419791,0.5809183436829027,0.19917128428842054,0.006616772087336195,0.059554642972243735,0.03572720955553116,0.04619458192900611,0.011678295994319096,0.9100001418535208,8.44406686655642,5.91266388956588,6.087967543205353,58.116666666666674,False,4.873431089870966,2.9383368160929217,3.0622946141559546,69.46666666666667,3.0197348076578963,2.8629948972790666,3.1401621530530086,92.0,0.44768944030344476,0.9495613665954841,1.0517254631133421,96.33152173913044,0.3690367228779918,0.6722349042629772,1.391820439665056,88.13559322033898
3,10.773415621002641,0.403742851967858,0.3619244086353223,0.17883825544905457,0.005990937910756335,0.051402236353193236,0.0392138733798252,0.030622172463393677,0.01291296210335767,0.77120195699468,7.490721100201469,5.91266388956588,6.087967543205353,56.3,False,4.087772117586417,2.9383368160929217,3.0622946141559546,66.66666666666666,3.0105682847089748,2.8629948972790666,3.1401621530530086,92.33333333333333,0.4452296699045428,0.9496204544814902,1.0516633229166654,95.83192138258218,0.2619663110291452,0.6722349042629772,1.391820439665056,88.13559322033898
4,10.742537400998117,0.785934811185566,0.7666790306049114,0.17275336458486235,0.007284674914819258,0.05205039913927916,0.042357742386112306,0.027518776452133582,0.012561156518709551,1.5206033682191051,8.317310445345985,5.91266388956588,6.087967543205353,56.81666666666667,False,4.798932282546743,2.9383368160929217,3.0622946141559546,66.61666666666667,3.234940464171622,2.8629948972790666,3.1401621530530086,91.75,0.45283123001858744,0.9495444459589308,1.0517432585063724,96.80489462950374,0.2598645361611726,0.6722349042629772,1.391820439665056,91.52542372881356
5,10.644736938997085,0.29102303907099825,0.1853380306480423,0.22428354731097824,0.006412025516896363,0.05839223138100307,0.04056745090035012,0.03985964983671438,0.013234157623165882,0.5378693107515689,9.794541333762897,5.91266388956588,6.087967543205353,55.13333333333333,False,6.214775647646654,2.9383368160929217,3.0622946141559546,59.583333333333336,3.12891171968376,2.8629948972790666,3.1401621530530086,92.25,0.465977153901692,0.9495867155282144,1.0516988042720083,96.19952494061758,0.34945198982892756,0.6722349042629772,1.391820439665056,96.61016949152543
6,10.844667863999348,0.8676850937746572,0.8403556739855595,0.21594787553502895,0.006802809046237203,0.06511547584974807,0.0477594909594129,0.04189949242535553,0.014264948402796773,1.0863418880131572,9.302124887555939,5.91266388956588,6.087967543205353,62.583333333333336,False,5.982446270045812,2.9383368160929217,3.0622946141559546,73.61666666666666,3.1530681595263084,2.8629948972790666,3.1401621530530086,91.91666666666667,0.44759943168155214,0.9496457141039689,1.0516367595891718,96.14082599864591,0.3528262677391671,0.6722349042629772,1.391820439665056,96.61016949152543
7,10.651860207999562,0.3469316630732709,0.30047544429739304,0.17330193147170664,0.006521254882749403,0.059843924854238784,0.04527473559989895,0.036927804917298475,0.012954955897607751,0.326574702904259,7.116546929175031,5.91266388956588,6.087967543205353,57.616666666666674,False,3.9489609144887265,2.9383368160929217,3.0622946141559546,69.6,3.089117222106469,2.8629948972790666,3.1401621530530086,92.25,0.45573240716679086,0.94968772882184,1.0515925779038529,95.47144305508618,0.29495283548365014,0.6722349042629772,1.391820439665056,91.52542372881356
8,10.672654212001362,0.6038154680499446,0.5733011198412137,0.18943028148092023,0.005925698544778078,0.05338850205659699,0.03774038969917751,0.03571552574768223,0.012263619276874421,0.8298892288743807,8.224280445541176,5.91266388956588,6.087967543205353,54.46666666666666,False,5.067601296848112,2.9383368160929217,3.0622946141559546,65.7,3.0656486568319674,2.8629948972790666,3.1401621530530086,91.08333333333334,0.45156864149208736,0.9496372984695712,1.0516456094975988,96.10565526583136,0.30173359399966565,0.6722349042629772,1.391820439665056,98.30508474576271
9,10.650893113997881,0.3980955677774887,0.35179707930730325,0.1861994912429562,0.0069746351729981886,0.05262159036123723,0.03787084570202958,0.03337002484424081,0.014875223018619809,0.0982288324401227,7.988619622203918,5.91266388956588,6.087967543205353,49.75,False,4.747294765931403,2.9383368160929217,3.0622946141559546,66.28333333333333,3.248390487988356,2.8629948972790666,3.1401621530530086,91.75,0.4407029917187711,0.9496120261206724,1.0516721864350382,95.72881355932203,0.2660457976117825,0.6722349042629772,1.391820439665056,89.83050847457628
