seed,algorithm,pos_rmse,final_error,energy_Wh,switch_count,avg_beacons,nees_pct,nis_acoustic_pct,crlb_eff,pct_active_0,pct_active_1,pct_active_2,pct_active_3,pct_active_4
0,imu_dvl_depth,3.9943172034826064,5.577721990902204,0.0,0.0,4.0,38.53,nan,2.2048976392042343,0.0,0.0,0.0,0.0,1.0
0,imu_dvl_depth_all4,0.7560777395269946,0.9444295380658457,33.3333333333267,0.0,4.0,21.016666666666666,94.98327759197325,0.9509820962652223,0.0,0.0,0.0,0.0,1.0
0,adaptive,0.7867576031737958,0.9617238827423635,30.00011111110514,26.0,2.0000666666666667,30.42,96.62162162162163,0.8932844965205202,0.016666666666666666,0.0,0.9666333333333333,0.0,0.0167
1,imu_dvl_depth,0.8447197379590491,0.613316247460287,0.0,0.0,4.0,95.82333333333334,nan,0.4638602104430181,0.0,0.0,0.0,0.0,1.0
1,imu_dvl_depth_all4,0.6149749759234331,0.5039772641375876,33.3333333333267,0.0,4.0,19.756666666666668,95.31772575250837,0.7536030691338974,0.0,0.0,0.0,0.0,1.0
1,adaptive,0.6295984091004266,0.6938995633396149,30.00011111110514,22.0,2.0000666666666667,28.29,94.63087248322147,0.7608971755958683,0.016666666666666666,0.0,0.9666333333333333,0.0,0.0167
2,imu_dvl_depth,1.5569840182361634,1.7768100220003997,0.0,0.0,4.0,96.75333333333333,nan,0.9022472910163739,0.0,0.0,0.0,0.0,1.0
2,imu_dvl_depth_all4,0.6944252948734977,0.2572377420343364,33.3333333333267,0.0,4.0,21.426666666666666,93.64548494983278,0.8819888249210023,0.0,0.0,0.0,0.0,1.0
2,adaptive,0.8343676880495156,0.5562143609491237,30.00011111110514,27.0,2.0000666666666667,28.49,98.64864864864865,1.003118100660843,0.016666666666666666,0.0,0.9666333333333333,0.0,0.0167
3,imu_dvl_depth,1.0357757623117985,1.530045812597147,0.0,0.0,4.0,96.28,nan,0.5860542749427406,0.0,0.0,0.0,0.0,1.0
3,imu_dvl_depth_all4,1.019169612953225,0.3959988410465579,33.3333333333267,0.0,4.0,16.49,95.9866220735786,1.2920897455800273,0.0,0.0,0.0,0.0,1.0
3,adaptive,0.7123141902962478,0.34339164401432853,30.00011111110514,23.0,2.0000666666666667,28.696666666666665,95.27027027027027,0.8699086557867959,0.016666666666666666,0.0,0.9666333333333333,0.0,0.0167
4,imu_dvl_depth,0.8531507597658828,1.3107362054578993,0.0,0.0,4.0,89.21,nan,0.4623707334584968,0.0,0.0,0.0,0.0,1.0
4,imu_dvl_depth_all4,0.6859781838094697,0.5955675948865115,33.3333333333267,0.0,4.0,26.103333333333335,94.64882943143813,0.8670103520279464,0.0,0.0,0.0,0.0,1.0
4,adaptive,1.0930798575321425,1.6994595906816403,30.00011111110514,26.0,2.0000666666666667,21.453333333333333,92.56756756756756,1.2241690034586938,0.016666666666666666,0.0,0.9666333333333333,0.0,0.0167
5,imu_dvl_depth,0.659609144322557,0.6489950621700499,0.0,0.0,4.0,97.20666666666666,nan,0.3622850811736249,0.0,0.0,0.0,0.0,1.0
5,imu_dvl_depth_all4,0.6534404631080536,0.6331620738639618,33.3333333333267,0.0,4.0,20.416666666666668,91.9732441471572,0.8208226682397127,0.0,0.0,0.0,0.0,1.0
5,adaptive,1.229002266429143,1.3073650800571632,30.00011111110514,27.0,2.0000666666666667,29.116666666666667,92.56756756756756,1.4849907059245822,0.016666666666666666,0.0,0.9666333333333333,0.0,0.0167
6,imu_dvl_depth,3.3382700209376774,3.412315209695295,0.0,0.0,4.0,66.05333333333333,nan,1.9262105221206502,0.0,0.0,0.0,0.0,1.0
6,imu_dvl_depth_all4,0.9602498471649449,0.4478913918259638,33.3333333333267,0.0,4.0,19.206666666666667,94.64882943143813,1.1914799819913546,0.0,0.0,0.0,0.0,1.0
6,adaptive,0.601893771926635,1.3140762890900728,30.00011111110514,27.0,2.0000666666666667,30.356666666666666,96.62162162162163,0.6597900888260676,0.016666666666666666,0.0,0.9666333333333333,0.0,0.0167
7,imu_dvl_depth,2.5735800943856515,3.9598105624479505,0.0,0.0,4.0,91.29666666666667,nan,1.4436644140220414,0.0,0.0,0.0,0.0,1.0
7,imu_dvl_depth_all4,0.7178719049288407,0.3853191257194737,33.3333333333267,0.0,4.0,21.59,92.64214046822742,0.8841086521153316,0.0,0.0,0.0,0.0,1.0
7,adaptive,1.211207857717676,0.943630774259585,30.00011111110514,26.0,2.0000666666666667,22.393333333333334,95.27027027027027,1.4916839620049642,0.016666666666666666,0.0,0.9666333333333333,0.0,0.0167
8,imu_dvl_depth,0.8755545564510496,0.6277812794676729,0.0,0.0,4.0,96.52333333333334,nan,0.46830422986949444,0.0,0.0,0.0,0.0,1.0
8,imu_dvl_depth_all4,0.7186460129477741,0.28950029703164754,33.3333333333267,0.0,4.0,20.14,93.64548494983278,0.9096467872707341,0.0,0.0,0.0,0.0,1.0
8,adaptive,1.3317119938804736,0.34122011201897345,30.00011111110514,26.0,2.0000666666666667,24.89666666666667,95.27027027027027,1.647796005037252,0.016666666666666666,0.0,0.9666333333333333,0.0,0.0167
