seed,algorithm,pos_rmse,final_error,energy_Wh,switch_count,avg_beacons,nees_pct,nis_acoustic_pct,crlb_eff,pct_active_0,pct_active_1,pct_active_2,pct_active_3,pct_active_4
0,imu_dvl_depth,1.4027372151267177,0.7609005035989298,0.0,0.0,4.0,99.95,nan,0.758495257773599,0.0,0.0,0.0,0.0,1.0
0,imu_dvl_depth_all4,1.1532068883687223,0.4548549111380536,1.333333333333305,0.0,4.0,50.63333333333333,89.39393939393939,1.178798560653271,0.0,0.0,0.0,0.0,1.0
1,imu_dvl_depth,1.0055609047909204,1.6342650529611757,0.0,0.0,4.0,96.28333333333333,nan,0.5391440953560817,0.0,0.0,0.0,0.0,1.0
0,adaptive,1.2955078226483239,1.296778581104089,0.6667777777777635,11.0,2.0003333333333333,76.05,97.05882352941177,1.1677471595561646,0.08333333333333333,0.0,0.8331666666666667,0.0,0.0835
1,imu_dvl_depth_all4,0.41364590737191825,0.47671681690484347,1.333333333333305,0.0,4.0,62.11666666666667,86.36363636363636,0.42164350880371304,0.0,0.0,0.0,0.0,1.0
1,adaptive,0.7763244455099063,0.741166174237993,0.6667777777777635,11.0,2.0003333333333333,78.14999999999999,88.23529411764706,0.6786082360587525,0.08333333333333333,0.0,0.8331666666666667,0.0,0.0835
2,imu_dvl_depth,1.3193399111845108,1.1895776894557848,0.0,0.0,4.0,100.0,nan,0.7374966839801702,0.0,0.0,0.0,0.0,1.0
2,imu_dvl_depth_all4,0.767420689030922,0.8769327153074651,1.333333333333305,0.0,4.0,58.85,87.87878787878788,0.8273708581655395,0.0,0.0,0.0,0.0,1.0
2,adaptive,0.6465586670219919,0.19256392913795295,0.6667777777777635,11.0,2.0003333333333333,80.33333333333333,94.11764705882352,0.5480821200374503,0.08333333333333333,0.0,0.8331666666666667,0.0,0.0835
3,imu_dvl_depth,0.7765952495115473,1.1157281177899934,0.0,0.0,4.0,91.68333333333332,nan,0.41040009523357807,0.0,0.0,0.0,0.0,1.0
3,imu_dvl_depth_all4,0.5561070453535792,0.3057027862090559,1.333333333333305,0.0,4.0,59.46666666666667,86.36363636363636,0.5646627742601873,0.0,0.0,0.0,0.0,1.0
3,adaptive,0.5561030598374757,0.9712132169310957,0.6667777777777635,11.0,2.0003333333333333,76.83333333333333,79.41176470588235,0.4933997215070549,0.08333333333333333,0.0,0.8331666666666667,0.0,0.0835
4,imu_dvl_depth,1.4446057189257344,2.5780987713187713,0.0,0.0,4.0,99.58333333333333,nan,0.7699559846475721,0.0,0.0,0.0,0.0,1.0
4,imu_dvl_depth_all4,0.5146426130164452,0.33743690763269335,1.333333333333305,0.0,4.0,59.550000000000004,90.9090909090909,0.5283064810607206,0.0,0.0,0.0,0.0,1.0
4,adaptive,0.9181614592222247,0.6834692182258864,0.6667777777777635,11.0,2.0003333333333333,79.05,97.05882352941177,0.8528958823106154,0.08333333333333333,0.0,0.8331666666666667,0.0,0.0835
