policy,rmse_mean,rmse_std,rmse_ci_lo,rmse_ci_hi,crlb_eff_mean,nees_pct_mean,nis_pct_mean,avg_beacons,energy_mean_Wh,energy_savings_pct,switch_count_mean
imu_dvl_depth,1.189767799907886,0.2879804704395458,0.9373417879345702,1.4421938118812017,0.6430984233982002,97.5,nan,4.0,0.0,100.0,0.0
imu_dvl_depth_all4,0.6810046286283173,0.2937682428282639,0.42350541047520934,0.9385038467814253,0.7041564365886862,58.123333333333335,88.18181818181817,4.0,1.333333333333305,0.0,0.0
adaptive,0.8385310908479845,0.289679736911582,0.584615606140072,1.092446575555897,0.7481466238940075,78.08333333333333,91.1764705882353,2.0003333333333333,0.6667777777777635,49.99166666666668,11.0
