t,err_norm,trace_Ppos,active_count,active_set,rank_xy,gdop_xy,rank_3d,gdop_3d,mode
0.01,0.000103204090112412,3.0003000000571873,4.0,usv1|usv2|usv3|usv4,2.0,3.729733711187332,3.0,9.101651484850343,xy
0.02,0.019810340309014945,2.0016991914168836,4.0,usv1|usv2|usv3|usv4,2.0,3.729733943291402,3.0,9.096707893792557,xy
0.03,0.022087068365791936,2.002799512070314,4.0,usv1|usv2|usv3|usv4,2.0,3.729733232138694,3.0,9.092344333830642,xy
0.04,0.011286791652827975,2.0037317795624277,4.0,usv1|usv2|usv3|usv4,2.0,3.729731646113151,3.0,9.088559479403255,xy
0.05,0.016223426414983106,2.000743670149949,4.0,usv1|usv2|usv3|usv4,2.0,3.7296532006458385,3.0,9.085339387597216,xy
0.06,0.0193055940028743,2.000712850561965,4.0,usv1|usv2|usv3|usv4,2.0,3.7296357067886117,3.0,9.082991692450584,xy
0.07,0.021797253520016577,2.0008804388075574,4.0,usv1|usv2|usv3|usv4,2.0,3.7296177163352793,3.0,9.08127702634451,xy
0.08,0.02279222433410926,2.0009658332350546,4.0,usv1|usv2|usv3|usv4,2.0,3.729599011763666,3.0,9.080098697401146,xy
0.09,0.02574485418249214,2.0011850243647946,4.0,usv1|usv2|usv3|usv4,2.0,3.7295801037295915,3.0,9.079609746055995,xy
0.1,0.01806206510724181,2.000779705919216,2.0,usv2|usv4,2.0,3.946459542958482,2.0,3.413047368034437,xy
0.11,0.0201620403019967,2.0009196882706486,2.0,usv2|usv4,2.0,3.9464488595758334,2.0,3.4131724515798068,xy
0.12,0.025571352657356782,2.001013695680439,2.0,usv2|usv4,2.0,3.9464374704219147,2.0,3.41336703244863,xy
0.13,0.027971678296329558,2.0011789546876937,2.0,usv2|usv4,2.0,3.9464254009551634,2.0,3.4136389279309864,xy
0.14,0.028445657187537682,2.0013006780133424,2.0,usv2|usv4,2.0,3.9464126523382776,2.0,3.4139833631765235,xy
0.15,0.04218298734968461,2.001051087534953,2.0,usv2|usv4,2.0,3.946292150223932,2.0,3.4142947891973847,xy
0.16,0.0427527635839993,2.00114532705581,2.0,usv2|usv4,2.0,3.9462709219748375,2.0,3.414770703511704,xy
0.17,0.045520922034896744,2.001290565271757,2.0,usv2|usv4,2.0,3.9462490244103896,2.0,3.4153046940009597,xy
0.18,0.04799552048691669,2.001400985564845,2.0,usv2|usv4,2.0,3.94622648074408,2.0,3.4159044160084844,xy
0.19,0.05070150471847762,2.001561708686198,2.0,usv2|usv4,2.0,3.946203288823811,2.0,3.4165564609060177,xy
0.2,0.035360531992745844,2.001301292416897,2.0,usv2|usv4,2.0,3.946456797135288,2.0,3.4175072413181424,xy
0.21,0.03724959931603779,2.0014354314665472,2.0,usv2|usv4,2.0,3.946446224911469,2.0,3.4182572225028984,xy
0.22,0.039491457466434676,2.0015397667699943,2.0,usv2|usv4,2.0,3.9464350424208714,2.0,3.4190309264602012,xy
0.23,0.04146395448137507,2.0016851258633834,2.0,usv2|usv4,2.0,3.9464232635099266,2.0,3.4198255119354823,xy
0.24,0.04327103708090036,2.0018006492515488,2.0,usv2|usv4,2.0,3.946411050545602,2.0,3.4206287743816803,xy
0.25,0.053290295342602344,2.0015937686352876,2.0,usv2|usv4,2.0,3.9464409204762565,2.0,3.4214707346569915,xy
0.26,0.05674216343266837,2.0016943840063637,2.0,usv2|usv4,2.0,3.946430327929642,2.0,3.422271418328755,xy
