t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,249.97708129882812,-149.97702026367188,-4.976943492889404,249.3499397346234,-148.85378128237565,-4.640715253852665,1.329669800883765,1.0001000000190625,1.0001000000190625,1.0001000000190625,1.767844994849087,1.7795331268099988,nan,nan,nan
0.02,249.97544860839844,-149.9753875732422,-4.975301265716553,249.35052324661999,-148.8546076442775,-4.936690912887844,1.2838107790128417,1.0004000001826252,1.0004000001826252,0.0008991910516330248,3.3039103844055857,3.4614839441110625,nan,0.08776048125022737,nan
0.03,249.97393798828125,-149.97386169433594,-4.973775386810303,249.3512228717309,-148.85555040588477,-4.936673552891699,1.2805353569260605,1.0009000006351882,1.0009000006351882,0.0009995107999378019,3.014140840439352,3.466941104975543,nan,nan,nan
0.04,249.9725341796875,-149.9724578857422,-4.9723639488220215,249.3520374309465,-148.85660833440053,-4.942557003481565,1.2771158484718825,1.0016000015212516,1.0016000015212516,0.0005317765199244777,3.2982605117972588,4.168337060632581,nan,0.04356680792516027,nan
0.05,249.9712371826172,-149.97116088867188,-4.971066474914551,249.32551130827937,-148.8405176533584,-4.936769858779287,1.3024946403835127,1.000136159857599,1.000136159857599,0.00047135043475060633,4.190591313299883,6.2162373354147915,0.6002050408867218,nan,nan
0.06,249.97006225585938,-149.96998596191406,-4.969881534576416,249.32106121167476,-148.83834979361737,-4.936609979115009,1.3049558495032567,1.0001960690185168,1.0001960690185168,0.0003207125249314022,5.153147280206775,7.185539685366899,nan,0.02400579497363679,nan
0.07,249.968994140625,-149.9689178466797,-4.968807697296143,249.31672225796177,-148.8362934474612,-4.934565322814472,1.3074667027608051,1.000266870913067,1.000266870913067,0.0003466969814233004,5.0898726482761365,7.19193171578468,nan,nan,nan
0.08,249.96803283691406,-149.96795654296875,-4.967844009399414,249.31249322783208,-148.83434735680274,-4.954235207075383,1.309575185140595,1.0003485656857503,1.0003485656857503,0.00026870186355409443,2.403442325393328,4.652571780318883,nan,4.08057476242673,nan
0.09,249.96719360351562,-149.96710205078125,-4.966989040374756,249.30837293159482,-148.83251042696688,-4.953584381409712,1.3120680300433696,1.0004411534810664,1.0004411534810664,0.00030271740266169536,2.314156805962139,4.675949910087573,nan,nan,nan
0.1,249.96644592285156,-149.9663543701172,-4.966241836547852,249.3236724153414,-148.8336778539927,-4.953182262780403,1.3024148435133143,1.0002799430390896,1.0002799430390896,0.0002198198410369,2.4715130425500016,3.8525493599203107,1.5176539559029094,0.052316297956260124,nan
0.11,249.96580505371094,-149.96571350097656,-4.965601444244385,249.32169722447009,-148.83234550975777,-4.953074693518398,1.3036697506241484,1.0003387291688073,1.0003387291688073,0.00024222993303413308,2.3466345673623494,3.8640453185713595,nan,nan,nan
0.12,249.96527099609375,-149.96517944335938,-4.965066432952881,249.31982747798236,-148.83111915327433,-4.957747591041509,1.3048921955727655,1.0004031143902965,1.0004031143902965,0.00020746689984599585,1.9601918923181425,3.601950906272066,nan,0.35138738542861075,nan
0.13,249.96484375,-149.96475219726562,-4.964635848999023,249.3180621508691,-148.82999743871716,-4.958112140143728,1.306153650149909,1.0004730988480575,1.0004730988480575,0.000232756991578682,1.8880344732585579,3.615658175146902,nan,nan,nan
0.14,249.9645233154297,-149.9644317626953,-4.964308738708496,249.3164001239816,-148.8289791929834,-4.964834021755363,1.3074083085557096,1.0005486826865908,1.0005486826865908,0.00020331264016074373,1.7097359843916549,3.507255232076423,nan,0.6588737172824317,nan
0.15,249.9643096923828,-149.96420288085938,-4.964083671569824,249.32618617684355,-148.87163227365053,-4.961346827677035,1.2652745327142954,1.000423869832177,1.000423869832177,0.0002033478705987416,1.6370688407179497,5.161400440875482,10.572298244876057,nan,nan
0.16,249.9641876220703,-149.96408081054688,-4.96396017074585,249.32548437571845,-148.87372322972348,-4.961982622668077,1.2636555708166117,1.0004822670248124,1.0004822670248124,0.000180793006185342,1.6176825625214517,5.148979741538132,nan,0.0009828760397898493,nan
0.17,249.9641571044922,-149.9640655517578,-4.963936805725098,249.32488285255363,-148.8759147821767,-4.962520352906222,1.2620402817938003,1.00054443243672,1.00054443243672,0.00020170039831695133,1.6018241196470875,5.136642607041004,nan,nan,nan
0.18,249.9642333984375,-149.96414184570312,-4.964012145996094,249.32438059334896,-148.87820587884806,-4.960060074782678,1.2604301468768437,1.0006103662124004,1.0006103662124004,0.00018025314004452552,1.6743490825518144,5.250518393782738,nan,0.21273158682691345,nan
0.19,249.96441650390625,-149.9643096923828,-4.964186668395996,249.32397672320656,-148.8805955120794,-4.960626195361758,1.2588138123891106,1.0006800684963535,1.0006800684963535,0.00020157169349108254,1.646413250705732,5.280079237968406,nan,nan,nan
0.2,249.9646759033203,-149.96458435058594,-4.9644575119018555,249.36109160955803,-148.84566731605702,-4.958928438666987,1.2713457045533842,1.0005678340570063,1.0005678340570063,0.00016562430288462397,1.7999503579358611,3.6328932211573792,15.569987054249806,0.024394196298546215,nan
0.21,249.9650421142578,-149.96495056152344,-4.96482515335083,249.36275321139922,-148.84637985585965,-4.959408186566032,1.270425790672139,1.0006260336518868,1.0006260336518868,0.00018336416277337354,1.7729712927486119,3.623835226536084,nan,nan,nan
0.22,249.96551513671875,-149.9654083251953,-4.965288162231445,249.36451035428848,-148.84718828451534,-4.96271370783808,1.269499679282273,1.0006870731532063,1.0006870731532063,0.00016562046358189022,1.6505343602605147,3.514437738053401,nan,0.1993731662168703,nan
0.23,249.966064453125,-149.96592712402344,-4.965845108032227,249.36636204303684,-148.8480693232289,-4.963524169877954,1.268563924371425,1.0007509527054648,1.0007509527054648,0.00018322045245407794,1.6374418766818741,3.550846611048403,nan,nan,nan
0.24,249.9667205810547,-149.96646118164062,-4.966495990753174,249.36830499418537,-148.84898492317274,-4.963461288470676,1.2676212416433745,1.0008176724531628,1.0008176724531628,0.00016530434522311815,1.6612534884091879,3.560121742985052,nan,0.02520046513510142,nan
0.25,249.96739196777344,-149.9669952392578,-4.967238903045654,249.3793944511268,-148.8532705065265,-4.966783231572335,1.259414176320281,1.0007118135101392,1.0007118135101392,0.0001701416150091115,1.5862160130900618,5.271620964463399,0.9905610243184195,nan,nan
0.26,249.9680938720703,-149.967529296875,-4.968072891235352,249.3817883523044,-148.85433299444247,-4.972416121321632,1.258164947018082,1.0007698933505491,1.0007698933505491,0.00015459730526529573,1.7037603558312608,5.34512459663361,nan,0.6014303220057643,nan
0.27,249.96878051757812,-149.96804809570312,-4.968997955322266,249.3841875493394,-148.85539052152177,-4.97395169551523,1.2568931360458608,1.0008302519759107,1.0008302519759107,0.00016941993433804899,1.7232897862505312,5.401717746150164,nan,nan,nan
0.28,249.96946716308594,-149.96856689453125,-4.970012187957764,249.3865822719435,-148.85644037153733,-4.970347146585836,1.2556194931849223,1.000892889530724,1.000892889530724,0.00015375146915452432,1.575903474774157,5.2118849761834065,nan,0.8638171972912309,nan
0.29,249.9701385498047,-149.96908569335938,-4.971115589141846,249.38896783123496,-148.85748123990743,-4.971829512780194,1.2543621385963502,1.0009578061594893,1.0009578061594893,0.00016804784254403524,1.5749512592893786,5.225800096526226,nan,nan,nan
0.3,249.97080993652344,-149.96957397460938,-4.972306251525879,249.39470620088144,-148.8416407009023,-4.972107291520428,1.2665421523744465,1.0008558006496362,1.0008558006496362,0.00014536977428052428,1.6030296495319716,5.813320324405409,1.8326779510562934,0.005123783548292819,nan
0.31,249.97145080566406,-149.97006225585938,-4.973583698272705,249.39718005833805,-148.84209921766413,-4.973690183539706,1.2657359590799893,1.0009138000273874,1.0009138000273874,0.00015800380722330657,1.600696620534957,5.893255170269054,nan,nan,nan
0.32,249.9720916748047,-149.97055053710938,-4.974947452545166,249.39964122519913,-148.84254811076767,-4.970903616889238,1.2649527041329238,1.0009737024100318,1.0009737024100318,0.0001440576086840928,1.7120468530828212,5.9659465084331655,nan,0.7235471726553954,nan
0.33,249.97271728515625,-149.97100830078125,-4.976396083831787,249.40208992261097,-148.84298742258065,-4.972479075613192,1.26414478264763,1.0010355079420696,1.0010355079420696,0.00015615947696313384,1.6946454338828718,5.9913326772330056,nan,nan,nan
0.34,249.97332763671875,-149.9714813232422,-4.977928638458252,249.4045260514659,-148.8434171915745,-4.9777594969674395,1.2633542484790932,1.001099216768001,1.001099216768001,0.00014231320052167967,1.594512462017275,5.931636071349294,nan,0.4900778036082464,nan
0.35000000000000003,249.97393798828125,-149.971923828125,-4.979544639587402,249.3777644579176,-148.8503420091247,-4.9788845591113065,1.2701846679615263,1.0009997922080285,1.0009997922080285,0.00014806836890546993,1.6146998344016605,3.5899424791008157,5.518302301628031,nan,nan
0.36,249.97451782226562,-149.9723663330078,-4.981243133544922,249.37934129447805,-148.85093927562752,-4.969089632523021,1.26963831536425,1.0010577337130937,1.0010577337130937,0.00013555602334560014,2.6997730287855686,4.732376875601444,nan,5.715912061567537,nan
0.37,249.97509765625,-149.97279357910156,-4.983023166656494,249.38090625604235,-148.85152759759436,-4.970664098193491,1.2690364722652065,1.0011173090006462,1.0011173090006462,0.00014592245031665502,2.6552690340007086,4.72732820570955,nan,nan,nan
0.38,249.9756622314453,-149.9732208251953,-4.984883785247803,249.38245931050116,-148.8521070479932,-4.961558066939441,1.2685936685888275,1.0011785182151862,1.0011785182151862,0.00013359509905498424,5.679564918666476,7.816260122809876,nan,4.973974399329777,nan
