t,p_true_x,p_true_y,p_true_z,v_true_x,v_true_y,v_true_z,v_body_x,v_body_y,v_body_z,vW1_x,vW1_y,vW1_z,vW2_x,vW2_y,vW2_z,err_norm_W1,err_norm_W2,cos_W1,cos_W2
0.0,219.9750518798828,-229.97499084472656,-4.974907398223877,0.0,0.0,0.0,0.2975108325481415,0.7496010065078735,0.012214920483529568,-0.4840255863898032,0.6450841922048455,0.012214920484528614,0.794660384321561,0.13758363602735507,0.012214920483378506,0.8065752212875215,0.8065752212875213,nan,nan
0.01,219.9733428955078,-229.9732666015625,-4.9731879234313965,-0.1708984375,0.17242431640625,0.17194747924804688,-0.1949622482061386,0.44077083468437195,0.24428141117095947,-0.477604416648909,0.06467794643627268,0.24428141117158123,0.27344606970915686,0.3968834369420566,0.2442814111704219,0.3330315834795804,0.5030468522772078,0.8384482463637482,0.39630407203033485
0.02,219.9717559814453,-229.9716796875,-4.971584796905518,-0.15869140625,0.15869140625,0.16031265258789062,0.29780006408691406,0.5932833552360535,0.027464669197797775,-0.3485899493377555,0.5649381009610744,0.02746466919861777,0.6612888065612827,0.05802693351889198,0.027464669197753325,0.46770334649339596,0.8367493484688798,0.8151650122220282,-0.4984110403499937
0.03,219.97027587890625,-229.97019958496094,-4.97009801864624,-0.14801025390625,0.14801025390625,0.14867782592773438,-0.16405506432056427,1.6424576044082642,0.3975662589073181,-1.4828806752731776,0.7250143362467028,0.397566258909656,1.3101803714195026,1.003996154978625,0.39756625890597574,1.4753840872634025,1.7090866609663067,0.8852667885312033,0.03163669031097305
0.04,219.9689178466797,-229.9688262939453,-4.968725681304932,-0.13580322265625,0.1373291015625,0.13723373413085938,-0.024856993928551674,0.12891444563865662,0.30803415179252625,-0.12262718374829933,0.04689752679626433,0.3080341517927097,0.09639873613471049,0.08912961284254757,0.30803415179240706,0.19371179723875265,0.2922562626404828,0.8239330516805913,0.5221127862796828
0.05,219.96766662597656,-229.9675750732422,-4.967466354370117,-0.1251220703125,0.1251220703125,0.1259326934814453,-0.7289005517959595,0.29537081718444824,0.133001908659935,-0.6360996842311777,-0.4625117549478944,0.13300190866039854,-0.13468423917712866,0.7748548815498781,0.13300190865884773,0.7787564499376138,0.6498416229167278,0.22205995013577245,0.753608108305281
0.06,219.96652221679688,-229.9664306640625,-4.9663190841674805,-0.11444091796875,0.11444091796875,0.11472702026367188,-0.47924694418907166,-0.6308643221855164,0.140321746468544,0.2811623350768309,-0.7406856015898186,0.14032174646772283,-0.7889536561714278,0.07224643577283346,0.1403217464683855,0.9425488784578002,0.6763156794980801,-0.6317824216208876,0.7183195701867388
0.07,219.9654998779297,-229.96539306640625,-4.965282440185547,-0.10223388671875,0.103759765625,0.10366439819335938,-0.5272814631462097,0.3853958547115326,0.08060803264379501,-0.6064850277374833,-0.24234606806282888,0.08060803264434603,0.04678885347226524,0.6514341937342764,0.08060803264293995,0.6120376273757776,0.56805514898754,0.3842978805826864,0.6048765296309829
0.08,219.96456909179688,-229.9644775390625,-4.96435546875,-0.09307861328125,0.091552734375,0.0926971435546875,0.41801249980926514,0.8832472562789917,0.020233720541000366,-0.5258882605990594,0.8235907394891433,0.020233720542084607,0.970321541007328,0.11548279467257751,0.02023372054093673,0.8534956235491571,1.0661348336874128,0.8065720534102157,-0.49756571035077307
0.09,219.96376037597656,-229.96365356445312,-4.963537216186523,-0.08087158203125,0.0823974609375,0.08182525634765625,0.566460371017456,0.27857500314712524,0.0778684988617897,0.06575468216693449,0.6278198048849346,0.07786849886207593,0.5373862689534229,-0.3312059534080358,0.07786849886223812,0.5648012487235037,0.7438589991337535,0.5864609302248089,-0.7152699559705146
0.1,219.9630584716797,-229.96295166015625,-4.962826251983643,-0.0701904296875,0.0701904296875,0.07109642028808594,-0.28919026255607605,-0.6381163597106934,0.16207870841026306,0.38573557147866544,-0.5848346679011297,0.16207870840955987,-0.6940508945937358,-0.09548233133093226,0.16207870841030758,0.8032460231847918,0.6518643418445668,-0.6446629956036296,0.6097595865996756
0.11,219.9624481201172,-229.96234130859375,-4.962221622467041,-0.06103515625,0.06103515625,0.06046295166015625,-0.4575202167034149,-0.07740093767642975,0.11817332357168198,-0.17871174780052534,-0.428226301030387,0.11817332357164416,-0.3096257416379757,0.3456118542690714,0.11817332357127974,0.506512626501294,0.38224555357138473,-0.16019899351562936,0.9341110370953007
0.12,219.9619598388672,-229.96185302734375,-4.961722373962402,-0.048828125,0.048828125,0.04992485046386719,0.13228149712085724,-0.8472028374671936,0.013833469711244106,0.7868466346565244,-0.34076883900608473,0.01383346971038129,-0.6455118759464208,-0.5644160222034346,0.013833469711742501,0.9227354366525875,0.8563892050273362,-0.7440132023479058,0.06363868098511109
0.13,219.96156311035156,-229.96145629882812,-4.961326599121094,-0.0396728515625,0.0396728515625,0.039577484130859375,-0.06428493559360504,-0.07293010503053665,0.16217006742954254,0.027256298864672325,-0.09331906018215587,0.162170067429482,-0.0960020771878508,0.015328209180707002,0.16217006742951776,0.1928608338834796,0.13709334320851455,0.12592004827416517,0.8346121389541089
0.14,219.96127319335938,-229.96116638183594,-4.961034297943115,-0.02899169921875,0.02899169921875,0.029230117797851562,-0.3387634754180908,0.0023127326276153326,0.08307735621929169,-0.18323038272979214,-0.28494326776228857,0.08307735621933297,-0.1793228790299666,0.2874184128666991,0.08307735621902647,0.35389865790961267,0.3037817556007903,-0.02963330025200944,0.9086948299056676
0.15,219.96109008789062,-229.9609832763672,-4.960843563079834,-0.018310546875,0.018310546875,0.019073486328125,-0.34882256388664246,0.06355904042720795,-0.23510544002056122,-0.24046467929552945,-0.2605641441852459,-0.23510544002046985,-0.13310698115903105,0.3286327232492996,-0.2351054400208315,0.43787039003018935,0.41723494709086634,-0.3546385067400242,0.29018451700233644
0.16,219.96099853515625,-229.9608917236328,-4.960753917694092,-0.0091552734375,0.0091552734375,0.00896453857421875,0.12621727585792542,0.5974615216255188,-0.06394623219966888,-0.43684241045544,0.42668461950183745,-0.06394623219926836,0.5720938290030029,0.2135408787763334,-0.06394623219974616,0.6021320639945189,0.6204353110941262,0.7583517310215271,-0.3987857555387469
0.17,219.9610137939453,-229.96090698242188,-4.960764408111572,0.00152587890625,-0.00152587890625,-0.001049041748046875,-0.27306216955184937,0.10460218042135239,0.2967109680175781,-0.23467984974927347,-0.1744417867624178,0.296710968017678,-0.058073141343741204,0.28658694858950845,0.2967109680173928,0.4175572785320525,0.41859535114221497,-0.4033599945093733,-0.8375492743200014
