k,best2_cfg,best2_gdop,best2_logdet,best2_rank,best3_cfg,best3_gdop,best3_logdet,best3_rank
254,2-3,32561766.83655254,-32.59926003439697,2,0-1-3,10.62715441026798,-1.40124315077977,3
256,0-2,48178563.27397928,-35.52353923633785,2,0-1-3,10.649260229104227,-1.4101438308402758,3
258,1-3,32015548.817965034,-31.777188423986342,2,0-1-3,10.670262816204882,-1.4187325441551408,3
260,0-3,40847024.18682783,-33.60313270429509,2,0-1-3,10.690122816999818,-1.426993350572194,3
262,1-3,24586745.023593552,-31.258606333865636,2,0-1-3,10.708804207957456,-1.4349112807636173,3
264,2-3,16363169.135212194,-31.242330855309177,2,0-1-3,10.726274314955274,-1.4424723339804455,3
266,2-3,13443109.832776247,-30.852550582061262,2,0-1-3,10.742503820113136,-1.4496634729852147,3
268,0-2,55638313.10063116,-35.791516734271745,2,0-1-3,10.757466758050386,-1.4564726165640662,3
270,0-3,12348847.109981833,-31.238258883552767,2,0-1-3,10.77114050244772,-1.4628886299852812,3
272,1-3,23694170.185645502,-31.20634611603763,2,0-1-3,10.783505743900108,-1.4689013137808185,3
274,2-3,15633785.502269913,-31.165976023477747,2,0-1-3,10.79454645992903,-1.474501391181648,3
276,1-3,76781036.94685143,-33.56553237415934,2,0-1-3,10.804249878074753,-1.4796804945367685,3
278,,inf,-inf,0,0-1-3,10.812606432945723,-1.4844311510210453,3
280,0-1,95115028.1892008,-34.81101640952313,2,0-1-3,10.819609718054089,-1.4887467679120125,3
282,1-2,95209100.98480056,-35.71324304245783,2,0-1-3,10.82525643322268,-1.4926216176928242,3
284,2-3,25264312.457474902,-32.135528381583065,2,0-1-3,10.829546328321097,-1.4960508232211245,3
286,2-3,16384525.84611726,-31.27067195240855,2,0-1-3,10.832482144023475,-1.499030343177549,3
288,1-3,76793293.69013348,-33.58501767076166,2,0-1-3,10.8340695502607,-1.5015569579939791,3
290,1-3,21721111.3729412,-31.06189593817766,2,0-1-3,10.834317082887123,-1.5036282564152046,3
292,2-3,20165469.868348703,-31.688308737346244,2,0-1-3,10.833236079196668,-1.5052426228697904,3
294,1-3,24917499.49392941,-31.34094986689034,2,0-1-3,10.830840612672054,-1.5063992257559145,3
296,0-3,13447496.20014791,-31.466334301772932,2,0-1-3,10.827147427465551,-1.5070980067728224,3
298,2-3,21218852.693705715,-31.790387516321097,2,0-1-3,10.822175872912362,-1.5073396713709108,3
300,1-3,27156191.194590706,-31.518168714812255,2,0-1-3,10.81594783844911,-1.507125680409505,3
