combination,metric,n,mean,std,mae,max
kalmaning/results_mc,pos_rmse_total,10,0.354319257280321,0.18905608815493513,0.354319257280321,0.8350836074906477
kalmaning/results_mc,final_position_error,10,0.42862411125142763,0.22830225145365807,0.42862411125142763,0.9275662713600219
results_mc,pos_rmse_total,15,1.0448035990058089,0.3283648294490526,1.0448035990058089,1.694279300966828
results_mc,final_position_error,15,1.0735616336242881,0.671350432731346,1.0735616336242881,2.767851751961395
