t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,249.97708129882812,-149.97702026367188,-4.976943492889404,251.42163638442125,-150.87493749310678,-4.244544387577773,1.8518647887171185,1.0001000000190625,1.0001000000190625,1.0001000000190625,3.4290602895959714,3.6089439679983895,nan,nan,nan
0.02,249.97544860839844,-149.9753875732422,-4.975301265716553,251.422617895524,-150.87702651882458,-4.978463298407841,1.7050694215313384,1.0004000001826252,1.0004000001826252,0.0008991910516330248,2.9172086817056635,3.4087850290577917,nan,0.5335214785724044,nan
0.03,249.97393798828125,-149.97386169433594,-4.973775386810303,251.42371565366082,-150.87923204773335,-4.982402791445552,1.7092762175713851,1.0009000006351882,1.0009000006351882,0.0009995107999378019,2.993392263395052,3.4085523236851802,nan,nan,nan
0.04,249.9725341796875,-149.9724578857422,-4.9723639488220215,251.42492844854152,-150.88155281829486,-4.980759942754022,1.7134681792513888,1.0016000015212516,1.0016000015212516,0.0005317765199244777,3.063773550931714,3.3875675875192233,nan,0.04228979759420014,nan
0.05,249.9712371826172,-149.97116088867188,-4.971066474914551,251.4003022638574,-150.8971821481857,-4.977586056077096,1.7028754753152744,1.000136159857599,1.000136159857599,0.00047135043475060633,2.9895245418950673,12.02321470558892,0.4953277846443762,nan,nan
0.06,249.97006225585938,-149.96998596191406,-4.969881534576416,251.3965505162295,-150.90236859732295,-4.9882323750825615,1.7042719528094905,1.0001960690185168,1.0001960690185168,0.0003207125249314022,3.953653024313442,12.933933290048696,nan,0.6173939546638836,nan
0.07,249.968994140625,-149.9689178466797,-4.968807697296143,251.39290996455924,-150.90766642140468,-4.988860949752634,1.7056339856876137,1.000266870913067,1.000266870913067,0.0003466969814233004,4.067906516604923,12.934132863159014,nan,nan,nan
0.08,249.96803283691406,-149.96795654296875,-4.967844009399414,251.38937942360826,-150.91307448635712,-4.9854780091040904,1.7069812548377596,1.0003485656857503,1.0003485656857503,0.00026870186355409443,4.069718963564745,12.854776011120418,nan,0.14865847815317887,nan
0.09,249.96719360351562,-149.96710205078125,-4.966989040374756,251.38595759303573,-150.9185917452843,-4.986105209680453,1.708387931540552,1.0004411534810664,1.0004411534810664,0.00030271740266169536,4.124095722475229,12.86586350529903,nan,nan,nan
0.1,249.96644592285156,-149.9663543701172,-4.966241836547852,251.41649140178086,-150.9189661840778,-4.979232970893578,1.735012947684308,1.0002799430390896,1.0002799430390896,0.0002198198410369,3.7770218789335104,16.58634807246092,5.684469966770017,0.0075696823925354715,nan
0.11,249.96580505371094,-149.96571350097656,-4.965601444244385,251.41666874657608,-150.9241731178156,-4.978442852228957,1.7389120719991948,1.0003387291688073,1.0003387291688073,0.00024222993303413308,3.703391847960175,16.574830431534366,nan,nan,nan
0.12,249.96527099609375,-149.96517944335938,-4.965066432952881,251.41695137589525,-150.92948570005314,-4.984576112200309,1.7428835616253033,1.0004031143902965,1.0004031143902965,0.00020746689984599585,4.87068107497296,17.79346243753,nan,0.7475671792839231,nan
0.13,249.96484375,-149.96475219726562,-4.964635848999023,251.41733819728657,-150.93490272475597,-4.984376655583713,1.7468033274621175,1.0004730988480575,1.0004730988480575,0.000232756991578682,4.7237654545018,17.76532814015272,nan,nan,nan
0.14,249.9645233154297,-149.9644317626953,-4.964308738708496,251.41782819763202,-150.94042324926474,-4.980429357861179,1.7506896746285445,1.0005486826865908,1.0005486826865908,0.00020331264016074373,4.341174575993644,17.492118189765634,nan,0.25018786811150695,nan
0.15,249.9643096923828,-149.96420288085938,-4.964083671569824,251.42340709995207,-150.95287714717225,-4.980799102144145,1.7625894176647923,1.000423869832177,1.000423869832177,0.0002033478705987416,4.4791536411737,27.03072720745593,0.3604205731399684,nan,nan
0.16,249.9641876220703,-149.96408081054688,-4.96396017074585,251.42443313085744,-150.95905713176782,-4.981153569701455,1.76708529468472,1.0004822670248124,1.0004822670248124,0.000180793006185342,4.755880497212287,27.375490331680073,nan,0.003400859431449845,nan
0.17,249.9641571044922,-149.9640655517578,-4.963936805725098,251.42555954474648,-150.96533768739974,-4.981237823086287,1.771593155099632,1.00054443243672,1.00054443243672,0.00020170039831695133,4.620544327238678,27.32396229188994,nan,nan,nan
0.18,249.9642333984375,-149.96414184570312,-4.964012145996094,251.42678529891938,-150.9717178578307,-4.983734782858529,1.7761352606777672,1.0006103662124004,1.0006103662124004,0.00018025314004452552,5.310321920297312,28.15842352149207,nan,0.118400797663526,nan
0.19,249.96441650390625,-149.9643096923828,-4.964186668395996,251.4281095116834,-150.97819645094393,-4.984148338931254,1.780663373153906,1.0006800684963535,1.0006800684963535,0.00020157169349108254,5.145015762119889,28.17128806117162,nan,nan,nan
0.2,249.9646759033203,-149.96458435058594,-4.9644575119018555,251.43091981589524,-150.96703501160377,-4.977572195603651,1.7762180423210179,1.0005678340570063,1.0005678340570063,0.00016562430288462397,4.191452482024426,27.09415831331345,1.7108535328733347,1.4914096877365277,nan
0.21,249.9650421142578,-149.96495056152344,-4.96482515335083,251.4325074796403,-150.972820648908,-4.977840871169825,1.7802882127768085,1.0006260336518868,1.0006260336518868,0.00018336416277337354,4.091167131050632,27.094627313766416,nan,nan,nan
0.22,249.96551513671875,-149.9654083251953,-4.965288162231445,251.43419046487077,-150.97870205011012,-4.979530487587689,1.784369422598836,1.0006870731532063,1.0006870731532063,0.00016562046358189022,4.406336429638014,27.484795729420895,nan,0.04693801533413749,nan
