t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,219.97708129882812,-229.97702026367188,-4.976943492889404,219.34847439666845,-228.51114142751797,-5.413239677083164,1.6535724235934588,1.0001000000190625,1.0001000000190625,1.0001000000190625,2.734028357180909,2.851377382684793,nan,nan,nan
0.02,219.97544860839844,-229.97518920898438,-4.975301265716553,219.3500527606179,-228.51036590676918,-4.97451701235215,1.5927422541601337,1.0004000001826252,1.0004000001826252,0.0008991910516330248,2.536496954898611,2.684824541265331,nan,0.19005597699740162,nan
0.03,219.97393798828125,-229.9732666015625,-4.973775386810303,219.35174703503188,-228.50950974578188,-4.971670318502295,1.5905062547700652,1.0009000006351882,1.0009000006351882,0.0009995107999378019,2.531864507062439,2.6847052592401135,nan,nan,nan
0.04,219.9725341796875,-229.9712677001953,-4.97236442565918,219.35355614647244,-228.50857375880318,-4.981438450705501,1.5882977396315126,1.0016000015212516,1.0016000015212516,0.0005317765199244777,2.673413232467909,2.8309916726177544,nan,0.20340085808318997,nan
0.05,219.9712371826172,-229.96920776367188,-4.971066951751709,219.32127679070953,-228.52019302138726,-4.97604142952827,1.5881174326340162,1.000136159857599,1.000136159857599,0.00047135043475060633,2.574247879115708,7.8590119934947,0.6347935392520361,nan,nan
0.06,219.97006225585938,-229.96705627441406,-4.969882011413574,219.31647141951203,-228.5216267442539,-4.969649417162397,1.5863314792679235,1.0001960690185168,1.0001960690185168,0.0003207125249314022,2.5161228945063066,7.8664454290431065,nan,0.06757625406638752,nan
0.07,219.968994140625,-229.96482849121094,-4.968808650970459,219.3117772555792,-228.52298310212447,-4.966721968192023,1.5845682422238065,1.000266870913067,1.000266870913067,0.0003466969814233004,2.5227414892938023,7.8590670236976665,nan,nan,nan
0.08,219.96803283691406,-229.9625244140625,-4.967845439910889,219.30719313499918,-228.5242630693889,-4.970382863310473,1.5828175023440911,1.0003485656857503,1.0003485656857503,0.00026870186355409443,2.5283934144684896,7.837394242867155,nan,0.3667784857323268,nan
0.09,219.96719360351562,-229.96014404296875,-4.966991424560547,219.30271796958195,-228.525467386611,-4.968028953964819,1.5810838222107784,1.0004411534810664,1.0004411534810664,0.00030271740266169536,2.502278670002491,7.85242859708698,nan,nan,nan
0.1,219.96644592285156,-229.9576873779297,-4.966244697570801,219.31411255435358,-228.49913724917778,-4.961330253064381,1.597789552319997,1.0002799430390896,1.0002799430390896,0.0002198198410369,2.6620635558571766,5.013643968496183,3.823954310162287,0.4868992254195137,nan
