t,err_norm,pos_err,nees_full,nees_pos,active_count,active_set,rank_xy_x,gdop_xy_x,rank_3d_x,gdop_3d_x,mode_x,mode_y,selected,n_active,reason,rank,gdop,fim_logdet,size,rank_xy_y,gdop_xy_y,rank_3d_y,gdop_3d_y,fim,fim_logdet_xy,fim_logdet_3d,active_set_str,rank_xy,gdop_xy,rank_3d,gdop_3d
0.01,0.00010278463099868234,0.00010278463099868234,0.0004225957330638716,1.056256785467572e-08,3,usv1|usv2|usv3,2.0,24.754359978783974,3.0,2438.579345507097,xy:init,xy,"['usv1', 'usv2', 'usv3']",3,init,2,24.754359978783974,-3.93321629088369,3,2,24.754359978783974,3,2438.579345507097,,,,"usv1,usv2,usv3",,,,
0.02,0.03818967866381492,0.03818967866381492,1.7194296648069116,1.6137159704411697,3,usv1|usv2|usv3,2.0,24.754338274236687,3.0,2458.296604497628,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3']",3,dwell_hold,2,24.754338274236687,-3.93321310239998,3,2,24.754338274236687,3,2458.296604497628,"[[2.36971275 4.77473082]
 [4.77473082 9.62886113]]",-3.93321310239998,-19.541396492158878,"usv1,usv2,usv3",,,,
0.03,0.03666954673765216,0.03666954673765216,1.561433734401053,1.1969879567969612,3,usv1|usv2|usv3,2.0,24.754330875601486,3.0,2459.6213599648268,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3']",3,dwell_hold,2,24.754330875601486,-3.9332128543816607,3,2,24.754330875601486,3,2459.6213599648268,"[[2.36971447 4.77473108]
 [4.77473108 9.62885522]]",-3.9332128543816607,-19.54246750537457,"usv1,usv2,usv3",,,,
0.04,0.008027528705306087,0.008027528705306087,0.6431649724770669,0.0013214635197371918,3,usv1|usv2|usv3,2.0,24.75433437201865,3.0,2445.253559339244,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3']",3,dwell_hold,2,24.75433437201865,-3.9332149871151323,3,2,24.75433437201865,3,2445.253559339244,"[[2.36971223 4.77472387]
 [4.77472387 9.62883526]]",-3.9332149871151323,-19.53081973085459,"usv1,usv2,usv3",,,,
0.05,0.02407056019197626,0.02407056019197626,2.1036117611047285,0.005074060922069135,3,usv1|usv2|usv3,2.0,24.7533620119484,3.0,2448.3420434006566,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3']",3,dwell_hold,2,24.7533620119484,-3.933136566884407,3,2,24.7533620119484,3,2448.3420434006566,"[[2.36972124 4.77473014]
 [4.77473014 9.62882455]]",-3.933136566884407,-19.533251392761876,"usv1,usv2,usv3",,,,
0.06,0.030732320865571254,0.030732320865571254,2.3060663502850116,0.2190378280138322,3,usv1|usv2|usv3,2.0,24.753146631643,3.0,2446.0705258779917,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3']",3,dwell_hold,2,24.753146631643,-3.9331198232100757,3,2,24.753146631643,3,2446.0705258779917,"[[2.36972253 4.77472912]
 [4.77472912 9.62881535]]",-3.9331198232100757,-19.53138882532703,"usv1,usv2,usv3",,,,
0.07,0.03660520005619522,0.03660520005619522,2.2966151343671077,0.2736783152573829,3,usv1|usv2|usv3,2.0,24.752918688631468,3.0,2448.102457375315,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3']",3,dwell_hold,2,24.752918688631468,-3.9331016321001027,3,2,24.752918688631468,3,2448.102457375315,"[[2.36972444 4.77472987]
 [4.77472987 9.62881072]]",-3.9331016321001027,-19.533021810500124,"usv1,usv2,usv3",,,,
0.08,0.040011867860393464,0.040011867860393464,2.0764087481537397,0.10296536614009483,3,usv1|usv2|usv3,2.0,24.75267777005694,3.0,2454.8610789722575,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3']",3,dwell_hold,2,24.75267777005694,-3.933081920420051,3,2,24.75267777005694,3,2454.8610789722575,"[[2.36972708 4.77473257]
 [4.77473257 9.62881103]]",-3.933081920420051,-19.538484338595445,"usv1,usv2,usv3",,,,
0.09,0.045525891596660345,0.045525891596660345,2.0775865612048436,0.13677015477428378,3,usv1|usv2|usv3,2.0,24.752434118924622,3.0,2457.822958545611,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3']",3,dwell_hold,2,24.752434118924622,-3.9330623458474454,3,2,24.752434118924622,3,2457.822958545611,"[[2.36972849 4.77473326]
 [4.77473326 9.62880828]]",-3.9330623458474454,-19.54086245216829,"usv1,usv2,usv3",,,,
0.1,0.06477918001901536,0.06477918001901536,5.743013006133032,0.6424880991255044,3,usv1|usv2|usv3,2.0,24.75378926839035,3.0,2459.0642478673262,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3']",3,dwell_hold,2,24.75378926839035,-3.9331721100185595,3,2,24.75378926839035,3,2459.0642478673262,"[[2.37042613 4.77526291]
 [4.77526291 9.62810739]]",-3.9331721100185595,-19.541976149465977,"usv1,usv2,usv3",,,,
