t,true_x,true_y,true_z,est_x,est_y,est_z,pos_err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_used,nis_skipped,usv1_enabled,usv2_enabled,usv3_enabled,usv4_enabled
0.01,199.97694396972656,-199.97694396972656,-4.976943492889404,199.97700329304337,-199.97700320439338,-4.977003351476669,0.00010300996136036943,1.0001000000190625,1.0001000000190625,1.0001000000190625,1.0609991140148535e-08,0.000424452390008883,nan,nan,True,True,True,True
0.02,199.9752960205078,-199.9752960205078,-4.975301265716553,199.97718055641056,-199.97718046030997,-5.0333900232451745,0.058149861050183896,1.0004000001826252,1.0004000001826252,0.0008991910516330248,3.7526064445611556,3.858953367908015,nan,nan,True,True,True,True
0.03,199.97377014160156,-199.97377014160156,-4.973775386810303,199.97747448952794,-199.97747457962632,-5.03369812493186,0.0601513058762948,1.0009000006351882,1.0009000006351882,0.0009995107999378019,3.592519411666571,3.8509749275324383,nan,nan,True,True,True,True
0.04,199.9723663330078,-199.9723663330078,-4.9723639488220215,199.9778837713778,-199.9778841548264,-4.97673806936162,0.00894546892472706,1.0016000015212516,1.0016000015212516,0.0005317765199244777,0.03604006028673891,0.9442891312227474,nan,nan,True,True,True,True
0.05,199.9710693359375,-199.9710693359375,-4.971066474914551,200.01860933537503,-199.9797216846671,-4.980199726030441,0.049176528557893305,1.000136159857599,1.000136159857599,0.00047135043475060633,0.17930754473670457,19.393848381763252,nan,nan,True,True,True,True
0.06,199.96987915039062,-199.96987915039062,-4.969881534576416,200.0272861391759,-199.98062108325337,-4.953635209058547,0.06062090873497773,1.0001960690185168,1.0001960690185168,0.0003207125249314022,0.8263999458926973,20.109658352840533,nan,nan,True,True,True,True
0.07,199.9687957763672,-199.9687957763672,-4.968807697296143,200.03607490904437,-199.98163238324807,-4.950655434989302,0.07085735527709892,1.000266870913067,1.000266870913067,0.0003466969814233004,0.9551010144412514,20.13375021768509,nan,nan,True,True,True,True
0.08,199.96783447265625,-199.96783447265625,-4.967844009399414,200.0449744572863,-199.98275440953373,-4.933882872041201,0.08559521362677724,1.0003485656857503,1.0003485656857503,0.00026870186355409443,4.2985076576873595,23.32711065318158,nan,nan,True,True,True,True
0.09,199.96697998046875,-199.96697998046875,-4.966989040374756,200.05398352698876,-199.98398599503346,-4.930370995463226,0.095915081460516,1.0004411534810664,1.0004411534810664,0.00030271740266169536,4.437337114959553,23.34847729315,nan,nan,True,True,True,True
0.1,199.9662322998047,-199.9662322998047,-4.966241836547852,200.0181887939727,-199.9583263936231,-4.946744967137367,0.05605451414108702,1.0002799430390896,1.0002799430390896,0.0002198198410369,1.732031481971628,12.482663108532346,nan,nan,True,True,True,True
0.11,199.96559143066406,-199.96559143066406,-4.965601444244385,200.02292207799255,-199.95707350710566,-4.945661147182478,0.06129415626115517,1.0003387291688073,1.0003387291688073,0.00024222993303413308,1.644837627958431,12.493818190359043,nan,nan,True,True,True,True
0.12,199.96505737304688,-199.96505737304688,-4.965066432952881,200.02776165266275,-199.955926617793,-4.945602558868653,0.06628755364333559,1.0004031143902965,1.0004031143902965,0.00020746689984599585,1.8300513456972862,12.786293516785848,nan,nan,True,True,True,True
0.13,199.96463012695312,-199.96463012695312,-4.964635848999023,200.03270627698478,-199.954884630867,-4.94478236987695,0.07157861084393706,1.0004730988480575,1.0004730988480575,0.000232756991578682,1.6981698219401162,12.790955240204248,nan,nan,True,True,True,True
