algorithm,n_runs,pos_rmse_mean,pos_rmse_std,pos_rmse_mae,pos_rmse_max,final_error_mean,final_error_std,final_error_mae,final_error_max,energy_mean,energy_std,energy_mae,energy_max,switch_count_mean,switch_count_std,pct_active_0,pct_active_1,pct_active_2,pct_active_3,pct_active_4
imu_dvl_depth,5,1.2879474366414247,0.33706716335762443,1.2879474366414247,1.7263011048852974,1.5801979222159184,0.30057181069875644,1.5801979222159184,1.9294018817848722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
imu_dvl_depth_all4,5,0.7963931899748051,0.36474425121830734,0.7963931899748051,1.505863174851422,0.6816912733495162,0.4477091986527306,0.6816912733495162,1.3504661807729188,2.499999999999947,0.0,2.499999999999947,2.499999999999947,0.0,0.0,0.0,0.0,0.0,0.0,1.0
adaptive,5,1.0347762657411985,0.4325455949998979,1.0347762657411985,1.8741216224622768,0.8521956693242876,0.5222185333909528,0.8521956693242876,1.611011568529916,1.8611666666666271,2.220446049250313e-16,1.8611666666666271,1.861166666666627,2.0,0.0,0.03333333333333333,0.0,0.6999333333333333,0.0,0.2667333333333333
