seed,algorithm,pos_rmse,final_error,energy_Wh,switch_count,avg_beacons,nees_pct,nis_acoustic_pct,crlb_eff,pct_active_0,pct_active_1,pct_active_2,pct_active_3,pct_active_4
0,imu_dvl_depth,1.4888033375517693,1.431760669807467,0.0,0.0,4.0,100.0,nan,0.9564880803198259,0.0,0.0,0.0,0.0,1.0
0,adaptive,1.8033290672557096,1.455130383083376,0.22233333333332858,3.0,2.001,65.60000000000001,91.66666666666666,1.5785329415161478,0.25,0.0,0.4995,0.0,0.2505
0,imu_dvl_depth_all4,1.222398228463649,0.7033289225186614,0.444444444444435,0.0,4.0,49.4,90.9090909090909,1.2230661674301122,0.0,0.0,0.0,0.0,1.0
1,imu_dvl_depth_all4,0.7197656893657817,0.59386796315138,0.444444444444435,0.0,4.0,53.5,90.9090909090909,0.7262524213095511,0.0,0.0,0.0,0.0,1.0
1,imu_dvl_depth,0.6291208843523272,0.2630301587575603,0.0,0.0,4.0,92.9,nan,0.39021222985755594,0.0,0.0,0.0,0.0,1.0
1,adaptive,0.6745929191270134,0.6324283850479637,0.22233333333332858,3.0,2.001,70.89999999999999,91.66666666666666,0.5868060420571216,0.25,0.0,0.4995,0.0,0.2505
2,imu_dvl_depth,1.0425619342547179,1.0758147704689882,0.0,0.0,4.0,99.6,nan,0.6654515981506044,0.0,0.0,0.0,0.0,1.0
2,imu_dvl_depth_all4,0.5594520893073622,0.45379255383943257,0.444444444444435,0.0,4.0,55.7,95.45454545454545,0.5454618924298494,0.0,0.0,0.0,0.0,1.0
2,adaptive,1.0921439986714343,0.5788073263773905,0.22233333333332858,3.0,2.001,73.6,91.66666666666666,0.94849299077277,0.25,0.0,0.4995,0.0,0.2505
3,imu_dvl_depth,1.0958073557644854,1.1977721421326175,0.0,0.0,4.0,99.45,nan,0.6958048745824873,0.0,0.0,0.0,0.0,1.0
3,imu_dvl_depth_all4,0.6606572379646503,0.6910082733520404,0.444444444444435,0.0,4.0,54.85,90.9090909090909,0.6718719501450738,0.0,0.0,0.0,0.0,1.0
3,adaptive,0.48805904392683425,0.5974662789577693,0.22233333333332858,3.0,2.001,66.60000000000001,100.0,0.4068197239183078,0.25,0.0,0.4995,0.0,0.2505
