t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,219.97708129882812,-229.97702026367188,-4.976943492889404,218.86996277588233,-229.98794080689035,-5.032211759685006,1.1085509746639794,1.0002000001220002,1.0002000001220002,1.0002000001220002,1.2286395353714905,1.2423195575729034,nan,nan,nan
0.02,219.97544860839844,-229.97518920898438,-4.975301265716553,218.87023449277947,-229.98902463604693,-4.955579637220039,1.1054766406559504,1.0006000012120004,1.0006000012120004,0.0008991912131812085,1.6535042724731515,1.8158998098516959,nan,0.005890164068621682,nan
0.03,219.97393798828125,-229.9732666015625,-4.973775386810303,218.87062229165352,-229.99002808583364,-4.955785834420482,1.1035896419300495,1.001200004238001,1.001200004238001,0.0010995118252531129,1.5104613722114926,1.77531631609147,nan,nan,nan
0.04,219.9725341796875,-229.9712677001953,-4.97236442565918,218.87112502909065,-229.99095185125256,-4.962907536883643,1.1016256240513989,1.002000010168002,1.002000010168002,0.0005624656081106611,1.370068704377094,1.724820480359045,nan,0.04931940542707712,nan
0.05,219.9712371826172,-229.96920776367188,-4.971066951751709,218.8508254010516,-229.96785339653792,-4.95943976783031,1.1204729296093068,1.0009210094183945,1.0009210094183945,0.0006537127138570228,1.4609748254280752,1.9824272273926755,0.581845147572762,nan,nan
0.06,219.97006225585938,-229.96705627441406,-4.969882011413574,218.8473706608764,-229.96383130004625,-4.938787261827252,1.123126752133039,1.0012062473429266,1.0012062473429266,0.00043231587918665605,3.4954490294966507,4.026613608730613,nan,0.9593899978759418,nan
0.07,219.968994140625,-229.96482849121094,-4.968808650970459,218.84402709825298,-229.95973203466374,-4.936716020138107,1.1254362519691332,1.00152516620639,1.00152516620639,0.0005964306937173778,2.990483801549648,3.5798978018542043,nan,nan,nan
0.08,219.96803283691406,-229.9625244140625,-4.967845439910889,218.8407936978579,-229.95555638987778,-4.939862329066625,1.1276079480358683,1.001877766976785,1.001877766976785,0.00042086504733437533,3.1289183254400155,3.759689664825836,nan,0.07051444892457896,nan
0.09,219.96719360351562,-229.96014404296875,-4.966991424560547,218.83766923061953,-229.9513049653528,-4.938366054612703,1.1299216123537417,1.0022640506221119,1.0022640506221119,0.0005921963012601953,2.6567040002927156,3.3330122326366203,nan,nan,nan
0.1,219.96644592285156,-229.9576873779297,-4.966244697570801,218.87465399830202,-229.94004520206354,-4.927245643290207,1.0926306691264256,1.0019194355704708,1.0019194355704708,0.0003930998784535813,5.059094667554186,6.289567149503642,2.1557011020400485,0.31416905010348667,nan
0.11,219.9658203125,-229.95516967773438,-4.96560525894165,218.87574460017504,-229.93495118657333,-4.92550890762737,1.0910002581916822,1.0022125063897773,1.0022125063897773,0.000538219517512615,4.173153174059656,5.437203941643137,nan,nan,nan
0.12,219.9652862548828,-229.9525604248047,-4.965071678161621,218.87694090766692,-229.9297839399165,-4.929554816218618,1.0891628944068106,1.0025239678558553,1.0025239678558553,0.00039309787743350836,4.391021780615365,5.670291216144884,nan,0.10566575427707874,nan
0.13,219.96485900878906,-229.94989013671875,-4.96464204788208,218.87824169398297,-229.92454417676467,-4.928303733086699,1.0875201513740154,1.0028538209367048,1.0028538209367048,0.0005374463045156113,3.634957380337035,4.9384315756405615,nan,nan,nan
0.14,219.96453857421875,-229.9471435546875,-4.964316368103027,218.87964580775215,-229.91923233047345,-4.924762805060212,1.085972299608996,1.003202066600326,1.003202066600326,0.0003921609461373206,5.163405637043472,6.473072093396815,nan,0.01894075737237214,nan
0.15,219.9643096923828,-229.9443359375,-4.96409273147583,218.88775008473988,-229.9199430043962,-4.922724001533163,1.0776302593240343,1.00292275696796,1.00292275696796,0.0005122342993985896,4.497190510908297,6.1650025478991894,0.16045971699545708,nan,nan
0.16,219.9641876220703,-229.9414520263672,-4.96397066116333,218.88979827342317,-229.91489626429671,-4.931202641861322,1.0752169195444037,1.0032187661837235,1.0032187661837235,0.00037876786632366386,3.986143404533094,5.652871920331989,nan,0.34521949377280925,nan
0.17,219.96417236328125,-229.93849182128906,-4.963948726654053,218.8919469283131,-229.9097802123549,-4.930380897791461,1.073134911842294,1.0035274257281714,1.0035274257281714,0.0005098841848685144,3.356359643967025,5.0202611662712515,nan,nan,nan
