t,active_count,active_set,selector_mode,gdop_xy,gdop_3d,pos_err,soc,mission_phase,score,f_obs,f_energy,f_mission
0.01,2.0,usv2|usv4,xy:init,19.732625784750415,nan,0.0001030838916819827,1.0,cruise,0.5767016400535027,0.7868147948438606,0.47058823529411764,0.21058886021668533
0.02,2.0,usv2|usv4,xy:dwell_hold,19.73262201314251,nan,0.014192952254065753,0.9999995,cruise,0.5767073335972462,0.7868148442444314,0.470588,0.21061755737515264
0.03,2.0,usv2|usv4,xy:dwell_hold,19.732614314408522,nan,0.01661311472005345,0.9999990000000001,cruise,0.5767167849785668,0.7868147609820594,0.47058776470588237,0.21066537537886254
0.04,2.0,usv2|usv4,xy:dwell_hold,19.73260274698008,nan,0.013587208594987535,0.9999985000000001,cruise,0.5767300117164349,0.7868145855991957,0.47058752941176474,0.21073230046653835
0.05,2.0,usv2|usv4,xy:dwell_hold,19.731824949648377,nan,0.02902262273159457,0.9999980000000002,cruise,0.5767035629914508,0.7868178275349135,0.4705872941176471,0.21059230494349945
0.06,2.0,usv2|usv4,xy:dwell_hold,19.73165326467914,nan,0.031487977538877734,0.9999975000000002,cruise,0.57670479038611,0.7868181326573228,0.4705870588235295,0.2105980320519485
0.07,2.0,usv2|usv4,xy:dwell_hold,19.73147799539984,nan,0.03647945337190728,0.9999970000000002,cruise,0.5767062798932623,0.7868185453841027,0.4705868235294119,0.2106048007119371
0.08,2.0,usv2|usv4,xy:dwell_hold,19.731299074377006,nan,0.04137450743587612,0.9999965000000003,cruise,0.5767079641332116,0.7868189310309331,0.47058658823529426,0.2106126107357834
0.09,2.0,usv2|usv4,xy:dwell_hold,19.731116520125344,nan,0.04658918028827843,0.9999960000000003,cruise,0.5767098272192321,0.786819257874009,0.4705863529411766,0.21062146199937348
0.1,2.0,usv2|usv4,xy:dwell_hold,19.73287248396962,nan,0.018757337977931082,0.9999955000000004,cruise,0.5767084305506588,0.7868227564569297,0.470586117647059,0.21060608514038148
0.11,2.0,usv2|usv4,xy:dwell_hold,19.732877024432536,nan,0.02037147167797676,0.9999950000000004,cruise,0.5767097628953574,0.7868233132518093,0.47058588235294135,0.21061170781785177
0.12,2.0,usv2|usv4,xy:dwell_hold,19.732878082048828,nan,0.02025618744739513,0.9999945000000005,cruise,0.5767111935702597,0.7868238526612971,0.4705856470588237,0.21061786560982032
0.13,2.0,usv2|usv4,xy:dwell_hold,19.73287567761941,nan,0.021779289540020407,0.9999940000000005,cruise,0.5767126992803063,0.7868243281175098,0.4705854117647061,0.21062455846069805
0.14,2.0,usv2|usv4,xy:dwell_hold,19.73286985184452,nan,0.023883522489727485,0.9999935000000005,cruise,0.5767142873159428,0.7868247542113748,0.4705851764705885,0.21063178634539437
0.15,2.0,usv2|usv4,xy:dwell_hold,19.733283940840707,nan,0.01790422069113378,0.9999930000000006,cruise,0.5767082525471662,0.7868175971295805,0.4705849411764709,0.21061985814717354
0.16,2.0,usv2|usv4,xy:dwell_hold,19.73329960596105,nan,0.02438272352823776,0.9999925000000006,cruise,0.5767092026335687,0.7868174046789018,0.47058470588235324,0.21062544264705918
0.17,2.0,usv2|usv4,xy:dwell_hold,19.73331200453858,nan,0.025982690159679977,0.9999920000000007,cruise,0.5767102250459644,0.7868172128691572,0.4705844705882356,0.21063138717457563
0.18,2.0,usv2|usv4,xy:dwell_hold,19.73332117225697,nan,0.02624279692748429,0.9999915000000007,cruise,0.5767113052227494,0.7868169925821423,0.47058423529411797,0.21063769171721436
0.19,2.0,usv2|usv4,xy:dwell_hold,19.733327153045483,nan,0.027764388654873077,0.9999910000000007,cruise,0.5767124329609101,0.7868167234136484,0.47058400000000034,0.2106443562704291
0.2,2.0,usv2|usv4,xy:dwell_hold,19.733191425193137,nan,0.019855227316507844,0.9999905000000008,cruise,0.5767099193594177,0.7868161327300418,0.4705837647058827,0.21063361791315993
0.21,2.0,usv2|usv4,xy:dwell_hold,19.73318424065894,nan,0.020768618033074726,0.9999900000000008,cruise,0.5767107831952258,0.7868157759162275,0.47058352941176507,0.21063918206791266
0.22,2.0,usv2|usv4,xy:dwell_hold,19.73317403141171,nan,0.018748590519762597,0.9999895000000009,cruise,0.5767116977584625,0.786815412030808,0.47058329411764743,0.2106450175388218
0.23,2.0,usv2|usv4,xy:dwell_hold,19.733160832810313,nan,0.01955044073581081,0.9999890000000009,cruise,0.5767126353132431,0.7868149856047483,0.47058305882352985,0.21065112431904998
0.24,2.0,usv2|usv4,xy:dwell_hold,19.733145499521072,nan,0.01620116309527811,0.999988500000001,cruise,0.5767136747543602,0.7868146544039879,0.4705828235294122,0.21065750246771286
0.25,2.0,usv2|usv4,xy:dwell_hold,19.734086441060473,nan,0.029600048461304027,0.999988000000001,cruise,0.5767136026568525,0.7868186921972321,0.4705825882352946,0.21064740043824004
0.26,2.0,usv2|usv4,xy:dwell_hold,19.73410900865156,nan,0.031074548906039272,0.999987500000001,cruise,0.5767144860084054,0.7868183788830342,0.47058235294117695,0.21065295342267565
0.27,2.0,usv2|usv4,xy:dwell_hold,19.73413241066869,nan,0.0322746342659154,0.9999870000000011,cruise,0.5767153982613418,0.7868180362423896,0.4705821176470593,0.2106587242301462
0.28,2.0,usv2|usv4,xy:dwell_hold,19.73415690622652,nan,0.03335450047504081,0.9999865000000011,cruise,0.5767163420608272,0.7868176695585872,0.4705818823529417,0.21066471287825572
0.29,2.0,usv2|usv4,xy:dwell_hold,19.734182624875956,nan,0.034560912201964666,0.9999860000000012,cruise,0.5767173212319986,0.7868172864775107,0.47058164705882405,0.21067091937798066
0.3,2.0,usv2|usv4,xy:dwell_hold,19.73583777798165,nan,0.08656928893192765,0.9999855000000012,cruise,0.5767109383431108,0.7868085479878666,0.4705814117647064,0.21066120409882827
0.31,2.0,usv2|usv4,xy:dwell_hold,19.73592041896357,nan,0.08946804495841908,0.9999850000000012,cruise,0.5767116272869511,0.7868078483486161,0.47058117647058884,0.21066675085733244
0.32,2.0,usv2|usv4,xy:dwell_hold,19.73600438658237,nan,0.09202799897532757,0.9999845000000013,cruise,0.5767123332158951,0.7868071098974712,0.4705809411764712,0.2106724795710908
0.33,2.0,usv2|usv4,xy:dwell_hold,19.736089683955747,nan,0.09491579687646455,0.9999840000000013,cruise,0.5767130761211829,0.786806372610887,0.47058070588235357,0.21067839025516688
0.34,2.0,usv2|usv4,xy:dwell_hold,19.736176299593847,nan,0.09825246727581112,0.9999835000000014,cruise,0.5767138593353717,0.7868056431536862,0.47058047058823593,0.21068448291028863
0.35000000000000003,2.0,usv2|usv4,xy:dwell_hold,19.735433963972532,nan,0.07705347475919054,0.9999830000000014,cruise,0.5767127902265321,0.7868074562227508,0.4705802352941183,0.2106749576346063
0.36,2.0,usv2|usv4,xy:dwell_hold,19.735499444488845,nan,0.080413248181153,0.9999825000000014,cruise,0.576713487690751,0.7868067758882943,0.47058000000000066,0.21068049873301875
0.37,2.0,usv2|usv4,xy:dwell_hold,19.735566212661016,nan,0.082710805048766,0.9999820000000015,cruise,0.57671419186323,0.78680604647787,0.47057976470588303,0.2106861960626505
0.38,2.0,usv2|usv4,xy:dwell_hold,19.73563425330132,nan,0.08349875977372069,0.9999815000000015,cruise,0.5767148961671477,0.7868052548394932,0.4705795294117654,0.21069204961935684
0.39,2.0,usv2|usv4,xy:dwell_hold,19.735703556226532,nan,0.08573122213268243,0.9999810000000016,cruise,0.576715645999028,0.7868044917619545,0.47057929411764776,0.21069805941378184
0.4,2.0,usv2|usv4,xy:dwell_hold,19.735532017596263,nan,0.09574057274558412,0.9999805000000016,cruise,0.5767102592019899,0.7867975926426436,0.4705790588235302,0.21068872616804546
0.41000000000000003,2.0,usv2|usv4,xy:dwell_hold,19.735597732906744,nan,0.0981804651903288,0.9999800000000016,cruise,0.5767108221434509,0.78679664479655,0.47057882352941255,0.21069426343176123
0.42,2.0,usv2|usv4,xy:dwell_hold,19.73566463367053,nan,0.09996310022982917,0.9999795000000017,cruise,0.5767113905972476,0.786795653231227,0.4705785882352949,0.21069993755522798
0.43,2.0,usv2|usv4,xy:dwell_hold,19.735732709951876,nan,0.10236820306552187,0.9999790000000017,cruise,0.5767119922025714,0.7867946732236869,0.4705783529411773,0.21070574854187396
0.44,2.0,usv2|usv4,xy:dwell_hold,19.735801935725657,nan,0.10444473952955455,0.9999785000000018,cruise,0.576712604669406,0.7867936601988424,0.47057811764705965,0.2107116963793343
0.45,2.0,usv2|usv4,xy:dwell_hold,19.73377520599934,nan,0.06555496646707502,0.9999780000000018,cruise,0.5767106885660658,0.7867936667602129,0.470577882352942,0.21070245240038354
0.46,2.0,usv2|usv4,xy:dwell_hold,19.73380002167938,nan,0.06700177586021884,0.9999775000000019,cruise,0.5767112205709056,0.786792658658512,0.4705776470588244,0.21070798562001192
0.47000000000000003,2.0,usv2|usv4,xy:dwell_hold,19.73382593134479,nan,0.06853708468537882,0.9999770000000019,cruise,0.5767117703013509,0.7867916373083762,0.47057741176470674,0.21071364058875397
0.48,2.0,usv2|usv4,xy:dwell_hold,19.733852916758284,nan,0.07096358929810989,0.9999765000000019,cruise,0.5767123488949266,0.7867906249864381,0.47057717647058916,0.21071941730265398
0.49,2.0,usv2|usv4,xy:dwell_hold,19.733880934871863,nan,0.07254401079572455,0.999976000000002,cruise,0.5767129314132187,0.7867895718252521,0.47057694117647153,0.21072531573825626
0.5,2.0,usv2|usv4,xy:dwell_hold,19.73389555131951,nan,0.09057933094169136,0.999975500000002,cruise,0.5767078435894981,0.786783173294234,0.4705767058823539,0.2107162258883747
0.51,2.0,usv2|usv4,xy:dwell_hold,19.73392526376262,nan,0.09245416635725029,0.9999750000000021,cruise,0.5767082824700591,0.7867819799618498,0.47057647058823626,0.2107217565633166
0.52,2.0,usv2|usv4,xy:dwell_hold,19.73395591215656,nan,0.09340908110096778,0.9999745000000021,cruise,0.576708712511161,0.7867807251160235,0.4705762352941186,0.21072739682456842
0.53,2.0,usv2|usv4,xy:dwell_hold,19.733987512767868,nan,0.0952530947041551,0.9999740000000021,cruise,0.5767091779967372,0.7867794973131748,0.470576000000001,0.2107331467007475
0.54,2.0,usv2|usv4,xy:dwell_hold,19.734020025263714,nan,0.09740381014589956,0.9999735000000022,cruise,0.576709665590165,0.7867782698887223,0.47057576470588336,0.21073900617019437
0.55,2.0,usv2|usv4,xy:dwell_hold,19.734549591524104,nan,0.11870772746958096,0.9999730000000022,cruise,0.5767052672663762,0.7867732118581511,0.4705755294117657,0.21073001256885426
0.56,2.0,usv2|usv4,xy:dwell_hold,19.73459286118425,nan,0.12042898409755229,0.9999725000000023,cruise,0.576705612958073,0.7867718330303619,0.4705752941176481,0.21073554103798775
0.5700000000000001,2.0,usv2|usv4,xy:dwell_hold,19.734636975777473,nan,0.12262799697817318,0.9999720000000023,cruise,0.5767059862640255,0.7867704695618656,0.4705750588235305,0.2107411691801675
0.58,2.0,usv2|usv4,xy:dwell_hold,19.734681873447176,nan,0.12448764011570608,0.9999715000000023,cruise,0.5767063537072865,0.7867690545160139,0.4705748235294129,0.21074689695227866
0.59,2.0,usv2|usv4,xy:dwell_hold,19.734727565659217,nan,0.12668393630869268,0.9999710000000024,cruise,0.5767067497053101,0.7867676567156471,0.47057458823529524,0.2107527243844901
0.6,2.0,usv2|usv4,xy:dwell_hold,19.73445987411696,nan,0.09455814158413207,0.9999705000000024,cruise,0.5767085558265082,0.7867749879363505,0.4705743529411776,0.21074377987989834
0.61,2.0,usv2|usv4,xy:dwell_hold,19.734501785108073,nan,0.09616613214476141,0.9999700000000025,cruise,0.576708947479149,0.7867737020194611,0.47057411764706,0.21074930587650242
0.62,2.0,usv2|usv4,xy:dwell_hold,19.734544401867932,nan,0.09786333916304617,0.9999695000000025,cruise,0.576709341386014,0.7867723840701016,0.47057388235294234,0.21075492322540224
0.63,2.0,usv2|usv4,xy:dwell_hold,19.73458773717388,nan,0.09947591013380762,0.9999690000000026,cruise,0.576709752548825,0.7867710640834567,0.4705736470588247,0.21076063194724592
0.64,2.0,usv2|usv4,xy:dwell_hold,19.734631761014317,nan,0.1010789659806181,0.9999685000000026,cruise,0.5767101732997251,0.7867697267279774,0.4705734117647071,0.2107664320316216
0.65,2.0,usv2|usv4,xy:dwell_hold,19.73301975841406,nan,0.09176402517303306,0.9999680000000026,cruise,0.5767068401087753,0.7867667695915637,0.4705731764705895,0.21075751185908254
0.66,2.0,usv2|usv4,xy:dwell_hold,19.733039529623085,nan,0.09330232267828202,0.9999675000000027,cruise,0.5767071723018226,0.7867653659227778,0.47057294117647186,0.21076303493746074
0.67,2.0,usv2|usv4,xy:dwell_hold,19.73305994918908,nan,0.09477859419428827,0.9999670000000027,cruise,0.5767075172480354,0.786763954013128,0.4705727058823542,0.21076864238382576
0.68,2.0,usv2|usv4,xy:dwell_hold,19.733081001090294,nan,0.09622787365074252,0.9999665000000028,cruise,0.5767078714077285,0.7867625267820927,0.4705724705882366,0.21077433420105574
