t,err_norm,pos_err,nees_full,nees_pos,active_count,active_set,rank_xy_x,gdop_xy_x,rank_3d_x,gdop_3d_x,mode_x,mode_y,selected,n_active,reason,rank_xy_y,gdop_xy_y,rank_3d_y,gdop_3d_y,score,soc,active_set_str,rank_xy,gdop_xy,rank_3d,gdop_3d
0.01,0.017059491874849328,0.017059491874849328,0.32406859086892315,0.32364574442918653,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.638497872792428,1.0,,,,,
0.02,0.003056006137279378,0.003056006137279378,0.07395938116522446,0.004179614659730489,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.639097876844428,1.0,,,,,
0.03,0.025769898554221977,0.025769898554221977,1.7350392183649037,1.6644907986235833,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.640097888096427,0.9999916666666666,,,,,
0.04,0.028436262773764393,0.028436262773764393,2.2350811475902663,2.0151636771192005,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.64149791014843,0.9999833333333332,,,,,
0.05,0.035599369514082393,0.035599369514082393,5.633495523699311,2.4403390777123053,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.639139910932304,0.9999749999999998,,,,,
0.06,0.03737347608480154,0.03737347608480154,4.667711384200833,1.2018286341090736,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.63951038478447,0.9999666666666664,,,,,
0.07,0.042264343976516204,0.042264343976516204,4.470403523895511,0.7867629021730824,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.63994822241442,0.9999583333333331,,,,,
0.08,0.0471699305142877,0.0471699305142877,3.9027977131832046,0.03222788330575619,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.640453427422166,0.9999499999999997,,,,,
0.09,0.053749754911922076,0.053749754911922076,4.246196107108184,0.36563104616166237,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.6410260034077,0.9999416666666663,,,,,
0.1,0.01979420971944554,0.01979420971944554,1.9717848354502214,0.4617066840146016,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.64013678782669,0.9999333333333329,,,,,
0.11,0.022797333410075185,0.022797333410075185,2.3326228221220173,0.9469976596477149,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.64052292047327,0.9999249999999995,,,,,
0.12,0.024968536007023243,0.024968536007023243,2.359417488939407,1.111922856256371,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.640945838627285,0.9999166666666661,,,,,
0.13,0.028428958810206986,0.028428958810206986,3.1382428351575897,2.039987256114887,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.64140554588874,0.9999083333333327,,,,,
0.14,0.030007303824427956,0.030007303824427956,2.8431262124974293,1.9038107121514134,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.64190204585763,0.9998999999999993,,,,,
0.15,0.024723223708363502,0.024723223708363502,3.418422378437506,2.309112156586878,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.64114345558611,0.999891666666666,,,,,
0.16,0.02926014860598459,0.02926014860598459,5.617546035959242,4.688657292430839,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.641535457655745,0.9998833333333326,,,,,
0.17,0.02838595944995467,0.02838595944995467,4.15509858081499,3.4371662035444634,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.64195276718654,0.9998749999999992,,,,,
0.18,0.030670157420197148,0.030670157420197148,4.974148514265993,4.4057053270084054,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.642395387778496,0.9998666666666658,,,,,
0.19,0.02932607642085613,0.02932607642085613,3.1031293786370204,2.6635332884860117,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.642863323031616,0.9998583333333324,,,,,
0.2,0.032047545124707824,0.032047545124707824,3.693890545153013,2.835179128057074,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.6421529248915,0.999849999999999,,,,,
0.21,0.03285276809657186,0.03285276809657186,3.225138258957937,2.4948725682181117,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.642547995259882,0.9998416666666656,,,,,
0.22,0.033511600873779274,0.033511600873779274,2.619394682008987,1.989242063099996,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.642962360376217,0.9998333333333322,,,,,
0.23,0.033635779011252684,0.033635779011252684,1.5066054361602161,0.9433127321441557,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.6433960238405,0.9998249999999989,,,,,
0.24,0.035355969109476845,0.035355969109476845,1.8676788035575704,1.3570463185365198,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.643848989252735,0.9998166666666655,,,,,
0.25,0.03625514702844615,0.03625514702844615,2.9387211554219306,1.9715667223303215,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.64316358023279,0.9998083333333321,,,,,
0.26,0.0372409707476282,0.0372409707476282,2.6264191207230554,1.7651835131137088,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.643560533036194,0.9997999999999987,,,,,
0.27,0.03975367988793667,0.03975367988793667,4.060352429887367,3.279779485699943,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.643973081646454,0.9997916666666653,,,,,
0.28,0.04173274122620364,0.04173274122620364,4.970526684933487,4.276680552241665,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.64440122966357,0.9997833333333319,,,,,
0.29,0.04403786799001514,0.04403786799001514,6.377066155478352,5.767442988072779,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.644844980687534,0.9997749999999985,,,,,
0.3,0.03913717090720828,0.03913717090720828,6.8420745152645654,6.2315872634772465,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.644174847941198,0.9997666666666651,,,,,
0.31,0.041619071859047695,0.041619071859047695,8.77979736927669,8.262252307758867,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.64457307089465,0.9997583333333318,,,,,
0.32,0.04163582135254717,0.04163582135254717,7.628937763369656,7.188098366972783,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.64498438536911,0.9997499999999984,,,,,
0.33,0.04083460892272631,0.04083460892272631,5.425102997800463,5.029815476768981,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.645408794964567,0.999741666666665,,,,,
0.34,0.04072332008507145,0.04072332008507145,4.085559608825738,3.7233493726417315,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.645846303281026,0.9997333333333316,,,,,
0.35000000000000003,0.05967640205886796,0.05967640205886796,4.349315247189869,3.3531942691515257,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.64518647293986,0.9997249999999982,,,,,
0.36,0.061497532294704726,0.061497532294704726,4.782326141056174,3.7836539690362154,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.645585608794004,0.9997166666666648,,,,,
0.37,0.06346234774270774,0.06346234774270774,5.551972056225362,4.569303819208174,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.645996028936864,0.9997083333333314,,,,,
0.38,0.0648355899387331,0.0648355899387331,5.112593086181425,4.089345208445374,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.64641773696844,0.999699999999998,,,,,
0.39,0.06666319431496587,0.06666319431496587,5.61750429467624,4.580157955356059,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.646850736488737,0.9996916666666646,,,,,
