t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,219.97708129882812,-229.97702026367188,-4.976943492889404,219.69777866719753,-231.11764702434525,-3.733704709513191,1.7101701785760306,1.0001000000190625,1.0001000000190625,1.0001000000190625,2.9243896006749592,2.9526695306978166,nan,nan,nan
0.02,219.97544860839844,-229.97518920898438,-4.975301265716553,219.69748821391568,-231.1182633734262,-4.9207788965365955,1.1776473220180947,1.0004000001826252,1.0004000001826252,0.0008991910516330248,4.689286185320142,4.7590402338030495,nan,1.4137090235125953,nan
0.03,219.97393798828125,-229.9732666015625,-4.973775386810303,219.69731394548833,-231.1187991343333,-4.919510477595539,1.179707728659718,1.0009000006351882,1.0009000006351882,0.0009995107999378019,4.333638493579135,4.766590576364467,nan,nan,nan
0.04,219.9725341796875,-229.9712677001953,-4.97236442565918,219.6972546290113,-231.11925496714028,-4.980323071009365,1.1805578918986037,1.0016000015212516,1.0016000015212516,0.0005317765199244777,1.510537563241943,2.6491634860949613,nan,4.999600090004592,nan
0.05,219.9712371826172,-229.96920776367188,-4.971066951751709,219.6847261592697,-231.08880013555554,-4.971098725113605,1.155671080666671,1.000136159857599,1.000136159857599,0.00047135043475060633,1.335395960464862,4.403415690788068,1.4964096853981608,nan,nan
0.06,219.97006225585938,-229.96705627441406,-4.969882011413574,219.6823764903043,-231.08293235585532,-4.977928663407792,1.1523919808138277,1.0001960690185168,1.0001960690185168,0.0003207125249314022,1.5295720763436684,4.589422481963973,nan,0.28153368055271694,nan
0.07,219.968994140625,-229.96482849121094,-4.968808650970459,219.68013804796914,-231.07698724016564,-4.978030634000953,1.149095283304177,1.000266870913067,1.000266870913067,0.0003466969814233004,1.565283241280333,4.5870593406611055,nan,nan,nan
0.08,219.96803283691406,-229.9625244140625,-4.967845439910889,219.6780095848343,-231.07096568291078,-4.972155232147249,1.145763547832633,1.0003485656857503,1.0003485656857503,0.00026870186355409443,1.3814242008344138,4.370859695917464,nan,0.3242010871606812,nan
0.09,219.96719360351562,-229.96014404296875,-4.966991424560547,219.67599000533073,-231.06486842960481,-4.972149389409444,1.142471929907094,1.0004411534810664,1.0004411534810664,0.00030271740266169536,1.3925258926114672,4.374822402377575,nan,nan,nan
0.1,219.96644592285156,-229.9576873779297,-4.966244697570801,219.73081574189413,-231.10712419041883,-4.970727161093418,1.1733484821494686,1.0002799430390896,1.0002799430390896,0.0002198198410369,1.4677455733611244,9.402835832451913,21.06871990992177,9.199424087002445e-05,nan
0.11,219.9658203125,-229.95516967773438,-4.96560525894165,219.73468457414992,-231.1057208318141,-4.970621483919375,1.1735488273650319,1.0003387291688073,1.0003387291688073,0.00024222993303413308,1.4806039783453628,9.339683249991118,nan,nan,nan
