seed,algorithm,pos_rmse,final_error,energy_Wh,switch_count,pct_active_0,pct_active_1,pct_active_2,pct_active_3,pct_active_4
0,imu_dvl_depth,1.7737243312943625,1.4108789192975923,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,imu_dvl_depth_all4,0.8187716002758719,0.31035666607878726,0.49999999999998934,0.0,0.0,0.0,0.0,0.0,1.0
0,adaptive,0.7082136132554125,0.06197458733181025,0.444444444444435,1.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334
1,imu_dvl_depth,0.38793786145565307,0.30561398803502554,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,imu_dvl_depth_all4,0.5504777373402369,0.7037996541052545,0.49999999999998934,0.0,0.0,0.0,0.0,0.0,1.0
1,adaptive,0.4502049308437393,0.12755110052758534,0.444444444444435,1.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334
2,imu_dvl_depth,0.9274730496148166,0.6752788664191869,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,imu_dvl_depth_all4,0.39896148787261465,0.32715360289724454,0.49999999999998934,0.0,0.0,0.0,0.0,0.0,1.0
2,adaptive,0.6512554150153239,0.24752343528060067,0.444444444444435,1.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334
3,imu_dvl_depth,0.4943535514706741,0.5542932716008531,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,imu_dvl_depth_all4,0.27279642407125876,0.11218317898169687,0.49999999999998934,0.0,0.0,0.0,0.0,0.0,1.0
3,adaptive,0.44474597060689885,0.5095794941151474,0.444444444444435,1.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334
4,imu_dvl_depth,1.0883746467739137,1.0414280975300432,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,imu_dvl_depth_all4,0.6478377466939835,0.4042900802819266,0.49999999999998934,0.0,0.0,0.0,0.0,0.0,1.0
4,adaptive,0.5590855540635142,0.5170185911011727,0.444444444444435,1.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334
5,imu_dvl_depth,0.7751710264221201,1.5942348319501871,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,imu_dvl_depth_all4,0.3607617573403077,0.46421901725578235,0.49999999999998934,0.0,0.0,0.0,0.0,0.0,1.0
5,adaptive,0.1810423903791117,0.13109455528425856,0.444444444444435,1.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334
6,imu_dvl_depth,0.9478870867813534,0.9850780329272082,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,imu_dvl_depth_all4,0.605207135069184,0.7528711456836024,0.49999999999998934,0.0,0.0,0.0,0.0,0.0,1.0
6,adaptive,1.0235680979543587,0.6802734851274135,0.444444444444435,1.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334
7,imu_dvl_depth,1.514707558269299,1.1526173453206694,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,imu_dvl_depth_all4,1.02125110667507,0.6196685170142411,0.49999999999998934,0.0,0.0,0.0,0.0,0.0,1.0
7,adaptive,0.9290155960935839,0.21882018122498714,0.444444444444435,1.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334
8,imu_dvl_depth,1.5068298171789676,1.7078781415503772,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,imu_dvl_depth_all4,0.4503426012328571,0.08171954968522661,0.49999999999998934,0.0,0.0,0.0,0.0,0.0,1.0
8,adaptive,0.5827041405154515,0.29429280897209453,0.444444444444435,1.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334
9,imu_dvl_depth,1.3805952980842997,1.8590830372078964,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,imu_dvl_depth_all4,0.4468881074412233,0.09052151540970262,0.49999999999998934,0.0,0.0,0.0,0.0,0.0,1.0
9,adaptive,0.6693023530797969,0.39074066164410054,0.444444444444435,1.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334
