t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,249.97708129882812,-149.97702026367188,-4.976943492889404,250.04871850570666,-148.70819945001,-5.728352087944154,1.4763648002147352,1.0001000000190625,1.0001000000190625,1.0001000000190625,2.1794350797635733,2.1925149025153394,nan,nan,nan
0.02,249.97544860839844,-149.9753875732422,-4.975301265716553,250.047958382618,-148.70843798692516,-4.968246320444103,1.2690424318670555,1.0004000001826252,1.0004000001826252,0.0008991910516330248,1.6651272667876515,1.7795222263666743,nan,0.5793636778738597,nan
0.03,249.97393798828125,-149.97386169433594,-4.973775386810303,250.04731435113234,-148.70879303672302,-4.969075730095053,1.2672035692314942,1.0009000006351882,1.0009000006351882,0.0009995107999378019,1.6264364764573267,1.7809111353051459,nan,nan,nan
0.04,249.9725341796875,-149.9724578857422,-4.9723639488220215,250.04678515177378,-148.70926334418343,-4.9528178145981485,1.265525862257545,1.0016000015212516,1.0016000015212516,0.0005317765199244777,2.317059329189174,2.496077290537026,nan,0.385398857575782,nan
0.05,249.9712371826172,-149.97116088867188,-4.971066474914551,250.02033555517846,-148.67428865222877,-4.952943810239046,1.2979278403748236,1.000136159857599,1.000136159857599,0.00047135043475060633,2.380846200277625,10.788595050442261,0.8312233757640843,nan,nan
0.06,249.97006225585938,-149.96998596191406,-4.969881534576416,250.01482554258394,-148.66787334106482,-4.9697891362745885,1.302881820331651,1.0001960690185168,1.0001960690185168,0.0003207125249314022,1.6971948873424827,10.211056651877255,nan,1.7174199439848663,nan
0.07,249.968994140625,-149.9689178466797,-4.968807697296143,250.00942669096509,-148.66156926440485,-4.969850806250136,1.3079740803163227,1.000266870913067,1.000266870913067,0.0003466969814233004,1.7134770742243424,10.199372541853887,nan,nan,nan
0.08,249.96803283691406,-149.96795654296875,-4.967844009399414,250.0041378897086,-148.65537523600315,-4.966848758289047,1.313078159424482,1.0003485656857503,1.0003485656857503,0.00026870186355409443,1.7272588178487132,10.182971375444295,nan,0.08816609792170604,nan
0.09,249.96719360351562,-149.96710205078125,-4.966989040374756,249.99895791108395,-148.64929026550476,-4.966960494169454,1.3181945506880957,1.0004411534810664,1.0004411534810664,0.00030271740266169536,1.736873338020052,10.204098737000917,nan,nan,nan
0.1,249.96644592285156,-149.9663543701172,-4.966241836547852,250.0121408489997,-148.6874350132323,-4.961351512919703,1.2797447647698172,1.0002799430390896,1.0002799430390896,0.0002198198410369,1.7460592503449421,4.381890378388039,8.640403414844315,0.2995587049175491,nan
