seed,runtime_seconds,pos_rmse_total,pos_rmse_x,pos_rmse_y,pos_rmse_z,vel_rmse_total,vel_rmse_x,vel_rmse_y,vel_rmse_z,final_position_error,nees_full_avg,nees_full_lower,nees_full_upper,nees_full_percent_inside,nees_full_is_consistent,nees_pos_avg,nees_pos_lower,nees_pos_upper,nees_pos_percent_inside,nis_dvl_avg,nis_dvl_lower,nis_dvl_upper,nis_dvl_percent_inside,nis_depth_avg,nis_depth_lower,nis_depth_upper,nis_depth_percent_inside,nis_acoustic_avg,nis_acoustic_lower,nis_acoustic_upper,nis_acoustic_percent_inside,run_consistent
0,37.730746064000414,0.8248916760070986,0.7619922544944225,0.31584696681350255,0.007400999325674062,0.038292411675649236,0.02528175400586752,0.02586801634470015,0.01256930533937865,1.3286414944785119,57.7933081975942,5.960863902001765,6.039262384956044,11.833333333333334,False,33.97932988171866,2.9723451209836247,3.027781165873295,15.840000000000002,7.110852725032245,2.9383368160929217,3.0622946141559546,72.28333333333333,1.0318633560972117,0.9772737997636102,1.022983786224852,94.73075877073701,0.5548682354553396,0.8461285895208002,1.1665362443580305,92.64214046822742,False
1,37.6292786480044,1.4562576252069375,1.425205273522749,0.2990379375570815,0.0072464610607204825,0.04217206257176769,0.03287145782901037,0.02311541503388034,0.012791704716891004,2.767851751961395,58.75447805354155,5.960863902001765,6.039262384956044,10.76,False,34.24802959246452,2.9723451209836247,3.027781165873295,15.766666666666667,7.063865460623461,2.9383368160929217,3.0622946141559546,72.46666666666667,1.0307931968776505,0.9772845466801771,1.022972794357286,95.10256758592583,0.5453069345103889,0.8461285895208002,1.1665362443580305,93.64548494983278,False
2,38.68359559500095,0.9184490316413378,0.8652705514065653,0.30789635134119464,0.0074386438461269185,0.04674407198779268,0.03661727280669242,0.02679119438334614,0.011243464844698426,0.8739344037449169,57.80959982139957,5.960863902001765,6.039262384956044,14.206666666666667,False,33.14228855283374,2.9723451209836247,3.027781165873295,20.393333333333334,7.182383269862764,2.9383368160929217,3.0622946141559546,71.88333333333333,1.0240220613430295,0.9772614988406052,1.022996367663476,94.52763408657773,0.7271260119955503,0.8461285895208002,1.1665362443580305,91.9732441471572,False
3,38.50249972000165,1.694279300966828,1.6658782414594566,0.3088358565867491,0.007242099345996543,0.03946064240053306,0.02784926143466981,0.0255420601327081,0.011365038512177742,1.8482704327748753,61.6573867303022,5.960863902001765,6.039262384956044,8.84,False,37.668261660211414,2.9723451209836247,3.027781165873295,13.83,7.025988226872541,2.9383368160929217,3.0622946141559546,72.48333333333333,1.0332034276973678,0.9772714948640358,1.0229861436746073,94.83168990139407,0.5822830413734604,0.8461285895208002,1.1665362443580305,92.64214046822742,False
4,38.99527685999783,1.4476470506227244,1.4172484183033012,0.2950239908599664,0.00705328366836026,0.039609444371425745,0.028975978328183136,0.024197731706903224,0.011990435504119764,1.1851900537382836,57.13201728117507,5.960863902001765,6.039262384956044,10.333333333333334,False,32.785038154445566,2.9723451209836247,3.027781165873295,16.066666666666666,7.110663181510747,2.9383368160929217,3.0622946141559546,72.2,1.0238636505134753,0.9772799427295173,1.0229775032298767,95.02582223430281,0.5697163879248855,0.8461285895208002,1.1665362443580305,90.96989966555184,False
5,39.075535919000686,1.2087386242983535,1.17148957102126,0.2976700804515885,0.007332807310112101,0.0421803170864316,0.033010306684267375,0.023379061172192413,0.011954844241118655,1.562842806572999,56.72972341658707,5.960863902001765,6.039262384956044,13.476666666666667,False,32.90991436546972,2.9723451209836247,3.027781165873295,17.316666666666666,7.013347407118391,2.9383368160929217,3.0622946141559546,72.28333333333333,1.0372733543212078,0.9772737997636102,1.022983786224852,94.78515093826489,0.6612863414377688,0.8461285895208002,1.1665362443580305,90.63545150501672,False
6,38.74533535299997,1.3334867445599898,1.2980878996334404,0.30512036291532496,0.007501125040168974,0.045015030312431085,0.03476157507969106,0.025720689378271332,0.012507277478114932,0.8915686419011202,58.993846581283854,5.960863902001765,6.039262384956044,8.676666666666668,False,34.32109261386738,2.9723451209836247,3.027781165873295,13.636666666666667,6.960100594510178,2.9383368160929217,3.0622946141559546,73.1,1.0201853375149177,0.977277639702201,1.0229798587502488,95.09277509685312,0.5146179960639999,0.8461285895208002,1.1665362443580305,93.64548494983278,False
7,38.22940545700112,1.1419310490723245,1.0987662068155395,0.31091022612816144,0.007360358995804633,0.04018805370274772,0.030802346287794838,0.0229972109729009,0.01172277318084721,1.6994518722516176,58.636107529023235,5.960863902001765,6.039262384956044,11.64,False,34.52038168612598,2.9723451209836247,3.027781165873295,15.073333333333332,7.059758530273465,2.9383368160929217,3.0622946141559546,72.55,1.0116576168433473,0.977277639702201,1.0229798587502488,94.73934615646027,0.6038608488718886,0.8461285895208002,1.1665362443580305,94.31438127090301,False
8,38.70854440899711,0.8244969855809174,0.7584289965601085,0.32330997546501383,0.007169112473768493,0.041819380727220266,0.02974480567233655,0.027069260622791566,0.011461338022173775,0.38601051010658777,56.33585659613735,5.960863902001765,6.039262384956044,13.793333333333333,False,32.43165453927947,2.9723451209836247,3.027781165873295,18.133333333333333,7.245802362330427,2.9383368160929217,3.0622946141559546,71.28333333333333,1.0194946469884871,0.9772837795497914,1.0229735789687207,95.12940696963521,0.6469169332673812,0.8461285895208002,1.1665362443580305,92.97658862876254,False
9,39.9022886429957,0.6150608987794652,0.5284836067532866,0.314565225089978,0.00732842169451076,0.03798734835503479,0.026099088435893734,0.024980814013034484,0.011740321507877611,1.0426659404932783,55.70840545934176,5.960863902001765,6.039262384956044,15.216666666666667,False,31.934759666324688,2.9723451209836247,3.027781165873295,20.7,6.97786579298781,2.9383368160929217,3.0622946141559546,72.81666666666666,1.0182671570879498,0.9772929799786255,1.0229641689239173,94.95011199348401,0.5017484413608391,0.8461285895208002,1.1665362443580305,93.31103678929766,False
10,40.27760021499853,0.6949196839289352,0.6254697445869789,0.3027346138972351,0.007260803446081677,0.043180210001803006,0.03214126753610694,0.026423127834164,0.011545032370315286,0.30239869174464723,54.33793224957179,5.960863902001765,6.039262384956044,13.846666666666666,False,30.020493339135786,2.9723451209836247,3.027781165873295,19.263333333333332,6.999421288353762,2.9383368160929217,3.0622946141559546,72.45,1.027560055167561,0.9772891478279139,1.0229680883731052,95.05703422053232,0.5952327792315353,0.8461285895208002,1.1665362443580305,92.97658862876254,False
11,40.63072827200085,1.1500716480310291,1.1090673876551052,0.3042752668720995,0.007133527500122421,0.040528337673366964,0.027506415894504827,0.027329907166112725,0.011790649409453863,0.06749227018488009,57.19586885993503,5.960863902001765,6.039262384956044,12.26,False,32.893556447849946,2.9723451209836247,3.027781165873295,18.333333333333332,7.140832835690032,2.9383368160929217,3.0622946141559546,71.96666666666667,1.0197827119913279,0.9773014038736566,1.0229555531806538,95.14378730330982,0.5843801536474599,0.8461285895208002,1.1665362443580305,93.64548494983278,False
12,40.58464898500097,0.5142527260169487,0.40004079243381563,0.3230638638859753,0.007278080506032898,0.03952732130211055,0.028879979085029928,0.024541568626978396,0.011227971619835554,0.7133455028428887,56.85984128178291,5.960863902001765,6.039262384956044,13.700000000000001,False,33.19740413704812,2.9723451209836247,3.027781165873295,18.916666666666668,7.021493056205772,2.9383368160929217,3.0622946141559546,72.03333333333333,1.0310583888598719,0.9772837795497914,1.0229735789687207,94.9935466340602,0.6664541810883066,0.8461285895208002,1.1665362443580305,93.64548494983278,False
13,40.60401963699405,0.9590978841700821,0.9050081784848532,0.31745617563159834,0.007108083315026544,0.042121584818308654,0.032391533334424266,0.02448740091184093,0.01119748509414644,0.864352888656495,57.93777829242098,5.960863902001765,6.039262384956044,13.176666666666668,False,33.80260276972892,2.9723451209836247,3.027781165873295,18.14666666666667,7.099733241313717,2.9383368160929217,3.0622946141559546,71.48333333333333,1.0366662057328888,0.9772860807073847,1.0229712253751038,95.15756587883727,0.5141876265294936,0.8461285895208002,1.1665362443580305,95.31772575250837,False
14,38.689615853996656,0.8884730562041612,0.8295066378813015,0.3182020949793224,0.007108872089772941,0.041402991378308024,0.030767064867727466,0.025421487995122536,0.011015596334794762,0.569407242911826,57.525335167372944,5.960863902001765,6.039262384956044,8.05,False,33.17731271072931,2.9723451209836247,3.027781165873295,16.946666666666665,7.080012290588905,2.9383368160929217,3.0622946141559546,72.46666666666667,1.0314823466808958,0.9773014038736566,1.0229555531806538,94.8792729245795,0.6235220099106181,0.8461285895208002,1.1665362443580305,94.64882943143813,False
