policy,rmse_mean,rmse_std,rmse_ci_lo,rmse_ci_hi,crlb_eff_mean,nees_pct_mean,nis_pct_mean,avg_beacons,energy_mean_Wh,energy_savings_pct,switch_count_mean
imu_dvl_depth,1.0449863773311947,0.4139926248862731,0.6821058419709178,1.4078669126914716,0.6775636547066449,88.1,nan,4.0,0.0,100.0,0.0
imu_dvl_depth_all4,0.9784391921062652,0.5906398300682842,0.46072055448763494,1.4961578297248954,0.8857714864905329,98.52000000000001,91.51515151515152,4.0,0.6666666666666525,0.0,0.0
adaptive,0.8383544989170171,0.30085763512226515,0.5746411544331975,1.1020678434008366,0.7460437969235652,99.38000000000001,90.52631578947368,2.3333333333333335,0.3888888888888806,41.66666666666667,1.0
