t,err_norm,trace_Ppos,active_count,active_set,rank_xy,gdop_xy,rank_3d,gdop_3d,mode
0.01,0.00010313095322497612,3.0003000000571873,2.0,usv1|usv2,2.0,5.09750690750973,2.0,5.097356356908207,xy
0.02,0.021425926369568297,2.0016991914168836,2.0,usv1|usv2,2.0,5.097509908827407,2.0,5.0973593089678415,xy
0.03,0.02367296910399139,2.002799512070314,2.0,usv1|usv2,2.0,5.09751074432678,2.0,5.097361508676967,xy
0.04,0.0261080479073636,2.0044997541279956,2.0,usv1|usv2,2.0,5.097511491499589,2.0,5.097364155874206,xy
0.05,0.026146061905299372,2.0012205853410587,2.0,usv1|usv2,2.0,5.097673320109624,2.0,5.097528369341304,xy
0.06,0.03704888217850403,2.0008627506429693,2.0,usv1|usv2,2.0,5.097707241126693,2.0,5.097564206754172,xy
0.07,0.03875485223202147,2.0010303450993656,2.0,usv1|usv2,2.0,5.097739893350826,2.0,5.097599069827515,xy
0.08,0.026207344673894524,2.0010318769250763,2.0,usv1|usv2,2.0,5.097769978331212,2.0,5.097632033686647,xy
0.09,0.02877149912159949,2.001248056744293,2.0,usv1|usv2,2.0,5.097802362318692,2.0,5.097666541841108,xy
0.1,0.05213952505154097,2.0008157838935094,2.0,usv1|usv2,2.0,5.098025869973315,2.0,5.09789196237996,xy
0.11,0.057123926122120604,2.000953557840563,2.0,usv1|usv2,2.0,5.098077219328342,2.0,5.0979453187632595,xy
0.12,0.06235525437875763,2.001031987353912,2.0,usv1|usv2,2.0,5.098128613672459,2.0,5.097998637912562,xy
0.13,0.06738679125148475,2.0011951281814127,2.0,usv1|usv2,2.0,5.09817982091614,2.0,5.098051756036793,xy
0.14,0.07359674601438433,2.001309075943434,2.0,usv1|usv2,2.0,5.098231573087947,2.0,5.098105202367451,xy
0.15,0.035914563165590226,2.001060949697257,2.0,usv1|usv2,2.0,5.097805057780324,2.0,5.09768053478839,xy
0.16,0.03768392392381898,2.0011507205987207,2.0,usv1|usv2,2.0,5.09782421587095,2.0,5.0977016369661685,xy
0.17,0.03964581172326326,2.001294843903534,2.0,usv1|usv2,2.0,5.097843354154174,2.0,5.097722963529536,xy
0.18,0.03982011976772384,2.0014030852464435,2.0,usv1|usv2,2.0,5.097861914947388,2.0,5.09774429326195,xy
0.19,0.04181978602760458,2.0015630899841717,2.0,usv1|usv2,2.0,5.097880932144776,2.0,5.0977665044344915,xy
0.2,0.027902533880598036,2.0013025647819083,2.0,usv1|usv2,2.0,5.097572920613913,2.0,5.097462349813131,xy
0.21,0.029092929422755848,2.0014362265589107,2.0,usv1|usv2,2.0,5.097575535311152,2.0,5.09746944882892,xy
0.22,0.027665997235571154,2.00154005263222,2.0,usv1|usv2,2.0,5.09757630120604,2.0,5.097475523233905,xy
0.23,0.02915722259326677,2.0016852112986934,2.0,usv1|usv2,2.0,5.097578799594586,2.0,5.097482983787345,xy
0.24,0.035561810168687626,2.0018006509125668,2.0,usv1|usv2,2.0,5.0975800717237,2.0,5.0974895554716415,xy
0.25,0.03865406773026198,2.001593785954586,2.0,usv1|usv2,2.0,5.09762577185426,2.0,5.097540069456983,xy
0.26,0.03959935121469418,2.001694388661797,2.0,usv1|usv2,2.0,5.097631440899342,2.0,5.097550458037233,xy
0.27,0.041353770309713336,2.0018300031643066,2.0,usv1|usv2,2.0,5.097637612567155,2.0,5.0975611552741915,xy
0.28,0.045291037058543454,2.0019396988806375,2.0,usv1|usv2,2.0,5.097644006785743,2.0,5.0975719711050935,xy
0.29,0.04716035174004797,2.0020840443497723,2.0,usv1|usv2,2.0,5.097651761869081,2.0,5.097583710763581,xy
0.3,0.06326603768389158,2.0018571936946477,2.0,usv1|usv2,2.0,5.097530727532076,2.0,5.097466053414176,xy
0.31,0.06556019376064846,2.001986038389517,2.0,usv1|usv2,2.0,5.097535822920689,2.0,5.09747424449546,xy
0.32,0.06703246910958878,2.0020919676757956,2.0,usv1|usv2,2.0,5.0975422098703085,2.0,5.097483100020121,xy
0.33,0.06925883694869883,2.0022279720931038,2.0,usv1|usv2,2.0,5.097548983716314,2.0,5.097491817639237,xy
0.34,0.07116488332748457,2.0023415639759743,2.0,usv1|usv2,2.0,5.097556841248395,2.0,5.097501087493214,xy
0.35000000000000003,0.07689291561728503,2.002148474843496,2.0,usv1|usv2,2.0,5.097353049748946,2.0,5.097298213743333,xy
0.36,0.07884106969651182,2.0022518504956928,2.0,usv1|usv2,2.0,5.0973568226554,2.0,5.0973023011296545,xy
0.37,0.0811396009970631,2.0023816809309745,2.0,usv1|usv2,2.0,5.09736083729474,2.0,5.097306255791319,xy
0.38,0.08339707978208885,2.0024917207332846,2.0,usv1|usv2,2.0,5.097365841577741,2.0,5.097310616275166,xy
0.39,0.08569360879294668,2.002627600416657,2.0,usv1|usv2,2.0,5.097371459660723,2.0,5.097315132853285,xy
