algorithm,n_runs,pos_rmse_mean,pos_rmse_std,pos_rmse_mae,pos_rmse_max,final_error_mean,final_error_std,final_error_mae,final_error_max,energy_mean,energy_std,energy_mae,energy_max,switch_count_mean,switch_count_std,pct_active_0,pct_active_1,pct_active_2,pct_active_3,pct_active_4
imu_dvl_depth,5,1.1775292419644987,0.34653205541663473,1.1775292419644987,1.7163427147457697,1.3685012097047355,0.30919281136877164,1.3685012097047355,1.7281042963264726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
imu_dvl_depth_all4,5,0.6738718387950552,0.31049213975361645,0.6738718387950552,1.2728018076703875,0.603705957299262,0.2537799564894442,0.603705957299262,1.030964872036545,0.444444444444435,0.0,0.444444444444435,0.444444444444435,0.0,0.0,0.0,0.0,0.0,0.0,1.0
adaptive,5,0.9646546151699049,0.436584974333326,0.9646546151699049,1.7571992586707224,0.6753978596965201,0.43456985977018814,0.6753978596965201,1.4051295412504907,0.22233333333332855,2.7755575615628914e-17,0.22233333333332855,0.22233333333332858,3.0,0.0,0.25,0.0,0.4995,0.0,0.2505
