config,min_gdop,median_gdop,max_gdop,mean_rank,pct_invertible
0-1,33779914.09558547,inf,inf,2.0,35.833333333333336
0-2,24676983.498161215,inf,inf,2.0,36.666666666666664
0-3,9963281.886552522,inf,inf,2.0,49.166666666666664
1-2,47863723.81864067,inf,inf,2.0,25.0
1-3,17970262.535347532,inf,inf,2.0,48.333333333333336
2-3,11851316.346773133,inf,inf,2.0,46.666666666666664
0-1-2,49.59091047735602,92.97823454682636,556.764824679157,3.0,100.0
0-1-3,9.507767484586244,10.218968012429933,11.554894385805566,3.0,100.0
0-2-3,16.226674223840252,19.388872671269368,26.136521643051868,3.0,100.0
1-2-3,12.661646237539744,14.243403473659,15.4756897385845,3.0,100.0
0-1-2-3,8.959240154279362,9.599789034330671,10.356681982394619,3.0,100.0
