t,active_count,active_set,selector_mode,gdop_xy,gdop_3d,rank_xy,rank_3d,n_active,pos_err,soc,mission_phase,score,f_obs,f_energy,f_mission
0.01,2.0,usv2|usv4,xy:init,5.504714873891513,nan,2.0,2.0,2.0,0.0001032164472795699,0.35,cruise,0.568684783613792,0.9565670096441182,0.1627906976744186,0.2078203474470368
0.02,2.0,usv2|usv4,xy:dwell_hold,5.5047213352890285,nan,2.0,2.0,2.0,0.040720183500471095,0.3499936111111111,cruise,0.5686900562246217,0.9565683683548307,0.1627877260981912,0.2078477710887443
0.03,2.0,usv2|usv4,xy:dwell_hold,5.50472826070787,nan,2.0,2.0,2.0,0.042808668320348964,0.3499872222222222,cruise,0.568698364023269,0.9565684870749481,0.16278475452196384,0.2078934706460287
0.04,2.0,usv2|usv4,xy:dwell_hold,5.50473543632236,nan,2.0,2.0,2.0,0.00993433787149299,0.34998083333333335,cruise,0.5687097043823981,0.9565673667329085,0.16278178294573645,0.20795743066111427
0.05,2.0,usv2|usv4,xy:dwell_hold,5.5057905078529545,nan,2.0,2.0,2.0,0.034706246519352,0.3499744444444445,cruise,0.5686761310247249,0.956555016419519,0.16277881136950906,0.20782489702056373
0.06,2.0,usv2|usv4,xy:dwell_hold,5.505996183657973,nan,2.0,2.0,2.0,0.041032307997601054,0.3499680555555556,cruise,0.5686750600863539,0.9565523733628603,0.16277583979328167,0.20783060733469616
0.07,2.0,usv2|usv4,xy:dwell_hold,5.506197097715323,nan,2.0,2.0,2.0,0.047849337634850414,0.3499616666666667,cruise,0.5686742189299341,0.9565497959031133,0.16277286821705428,0.20783730256630584
0.08,2.0,usv2|usv4,xy:dwell_hold,5.506395409692139,nan,2.0,2.0,2.0,0.056814171056241314,0.34995527777777785,cruise,0.5686733737489578,0.9565468125931926,0.16276989664082692,0.2078449923005673
0.09,2.0,usv2|usv4,xy:dwell_hold,5.506587890018506,nan,2.0,2.0,2.0,0.06410448396473495,0.349948888888889,cruise,0.5686728939233776,0.9565441681596092,0.16276692506459953,0.20785366162096586
0.1,2.0,usv2|usv4,xy:dwell_hold,5.503656089638547,nan,2.0,2.0,2.0,0.04316649626805234,0.3499425000000001,cruise,0.568673610346385,0.9565545326565452,0.16276395348837214,0.20783578985800377
0.11,2.0,usv2|usv4,xy:dwell_hold,5.503527951019129,nan,2.0,2.0,2.0,0.0472866339545758,0.3499361111111112,cruise,0.5686730790198623,0.9565531606778417,0.16276098191214475,0.20784102053648978
0.12,2.0,usv2|usv4,xy:dwell_hold,5.503395492582219,nan,2.0,2.0,2.0,0.05112255853516959,0.34992972222222235,cruise,0.568672663112134,0.9565518184491986,0.16275801033591736,0.20784675393379803
0.13,2.0,usv2|usv4,xy:dwell_hold,5.503259218628145,nan,2.0,2.0,2.0,0.055240720967670305,0.3499233333333335,cruise,0.5686723142675763,0.9565504084078911,0.16275503875969,0.20785299217861886
0.14,2.0,usv2|usv4,xy:dwell_hold,5.503119850123866,nan,2.0,2.0,2.0,0.06095057460859927,0.3499169444444446,cruise,0.5686719626914379,0.9565487897132927,0.1627520671834626,0.20785973839876404
0.15,2.0,usv2|usv4,xy:dwell_hold,5.502973095405611,nan,2.0,2.0,2.0,0.05243258676582087,0.3499105555555557,cruise,0.5686698566350165,0.9565509899448695,0.16274909560723522,0.20784816490205593
0.16,2.0,usv2|usv4,xy:dwell_hold,5.502824734610539,nan,2.0,2.0,2.0,0.055393250736336275,0.34990416666666685,cruise,0.5686693979184816,0.9565497923454348,0.16274612403100783,0.20785332268230905
0.17,2.0,usv2|usv4,xy:dwell_hold,5.502672797340941,nan,2.0,2.0,2.0,0.058853317435418294,0.349897777777778,cruise,0.5686689786883895,0.9565485384218898,0.16274315245478044,0.2078588187050524
