algorithm,n_runs,pos_rmse_mean,pos_rmse_std,pos_rmse_mae,pos_rmse_max,final_error_mean,final_error_std,final_error_mae,final_error_max,energy_mean,energy_std,energy_mae,energy_max,switch_count_mean,switch_count_std,pct_active_0,pct_active_1,pct_active_2,pct_active_3,pct_active_4
imu_dvl_depth,30,2.528632304517687,0.9502308790993879,2.528632304517687,4.906398205772858,3.4203463349154357,1.7863425256659717,3.4203463349154357,8.838166282019571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
imu_dvl_depth_all4,30,0.7905154977549735,0.22874976149903314,0.7905154977549735,1.3474255958267816,0.8287072105166107,0.5884751154467787,0.8287072105166107,2.542463206971613,13.333333333321207,0.0,13.333333333321207,13.333333333321207,0.0,0.0,0.0,0.0,0.0,0.0,1.0
adaptive,30,0.8755470510696408,0.2775247627226814,0.8755470510696408,1.6240840953511906,0.7609028191932993,0.4028376494920968,0.7609028191932993,1.8244122035705574,6.666777777771718,2.6645352591003757e-15,6.666777777771718,6.666777777771715,40.2,2.08806130178211,0.008333333333333333,0.0,0.9833166666666667,0.0,0.00835
