seed,runtime_seconds,pos_rmse_total,pos_rmse_x,pos_rmse_y,pos_rmse_z,vel_rmse_total,vel_rmse_x,vel_rmse_y,vel_rmse_z,final_position_error,nees_full_avg,nees_full_lower,nees_full_upper,nees_full_percent_inside,nees_full_is_consistent,nees_pos_avg,nees_pos_lower,nees_pos_upper,nees_pos_percent_inside,nis_dvl_avg,nis_dvl_lower,nis_dvl_upper,nis_dvl_percent_inside,nis_depth_avg,nis_depth_lower,nis_depth_upper,nis_depth_percent_inside,nis_acoustic_avg,nis_acoustic_lower,nis_acoustic_upper,nis_acoustic_percent_inside
0,11.052333103001729,0.9119581372257046,0.8919317587719121,0.18993698076478835,0.007023181912577545,0.07610095670060125,0.0572076115668128,0.04879333134323273,0.011741192699081358,0.7868521993366744,4.7527618021393065,5.91266388956588,6.087967543205353,46.06666666666667,False,2.7927431182843137,2.9383368160929217,3.0622946141559546,86.05000000000001,1.7362170840813909,2.8629948972790666,3.1401621530530086,90.41666666666667,0.24347017878646532,0.9496035935105729,1.0516810544978001,94.84571041030858,0.0784262452565699,0.6722349042629772,1.391820439665056,86.4406779661017
1,10.939505261001614,0.8189991732723534,0.7952039861319735,0.19586451647481393,0.006881674702056835,0.05928867003237629,0.04493507586452705,0.03691944273488685,0.011529965281934323,1.2137811960048033,4.785509137168281,5.91266388956588,6.087967543205353,48.56666666666667,False,2.829996447578047,2.9383368160929217,3.0622946141559546,70.86666666666666,1.7322368145566525,2.8629948972790666,3.1401621530530086,91.08333333333334,0.23973068561885896,0.9494850887833683,1.0518056867175016,95.29812606473594,0.08162072430029901,0.6722349042629772,1.391820439665056,88.13559322033898
2,10.832943184999749,0.4259057355353811,0.38642099151866716,0.1789622844678749,0.006856647409892149,0.05278117239228516,0.04135721694801806,0.030491530402269845,0.012070598127108385,0.683203812817894,3.9875411363247717,5.91266388956588,6.087967543205353,53.75,False,2.232971962734941,2.9383368160929217,3.0622946141559546,77.5,1.757213390993205,2.8629948972790666,3.1401621530530086,91.33333333333333,0.25363941192203726,0.9495275082102848,1.051761072201582,95.61224489795919,0.2037749929433933,0.6722349042629772,1.391820439665056,91.52542372881356
3,10.846111424998526,0.31944439376158695,0.2597870064190727,0.1857831628569313,0.006328380551096282,0.05704580293715282,0.04062095268664716,0.03812640538535841,0.012269435519410225,0.6512034743413392,4.22823815828997,5.91266388956588,6.087967543205353,39.800000000000004,False,2.4111814597526147,2.9383368160929217,3.0622946141559546,64.21666666666667,1.7972979417415906,2.8629948972790666,3.1401621530530086,91.91666666666667,0.25539969599593304,0.9496204544814902,1.0516633229166654,95.221958658082,0.13345189351988293,0.6722349042629772,1.391820439665056,96.61016949152543
4,11.106524351998814,0.42372588305211467,0.3787260648293269,0.18990104741833633,0.006912595504254377,0.06810263152055873,0.041871655670685536,0.05207225403666918,0.013161049766684441,0.33265842809528634,4.229180666704329,5.91266388956588,6.087967543205353,45.483333333333334,False,2.458349770298462,2.9383368160929217,3.0622946141559546,67.80000000000001,1.9071848227855455,2.8629948972790666,3.1401621530530086,92.0,0.24934664677220378,0.9495529084144148,1.0517343585240406,95.10703363914374,0.20046586252783158,0.6722349042629772,1.391820439665056,91.52542372881356
5,10.723760462999053,0.3118898582103454,0.24981743352080954,0.18659902265999953,0.006880283851584125,0.05062189107391822,0.03797275400963811,0.03167338871889321,0.010837077829610395,0.5332260083133233,3.973363234483137,5.91266388956588,6.087967543205353,46.18333333333333,False,2.3700677209822008,2.9383368160929217,3.0622946141559546,68.63333333333334,1.7976509052372216,2.8629948972790666,3.1401621530530086,90.25,0.2578636106247038,0.9494680909142751,1.0518235647176435,95.1926355267644,0.17630728491087397,0.6722349042629772,1.391820439665056,91.52542372881356
6,10.74342670599799,0.27498336189692396,0.20111799194518903,0.18743975943283422,0.005808547135978396,0.04773101807836745,0.03530026214606512,0.029837812969234823,0.011909932679468993,0.3203536189260133,3.9539716619085907,5.91266388956588,6.087967543205353,31.983333333333334,False,2.395876963800779,2.9383368160929217,3.0622946141559546,61.916666666666664,1.7721769339165454,2.8629948972790666,3.1401621530530086,90.33333333333333,0.2469718482368303,0.9494765920023396,1.0518146234140737,94.88752556237219,0.15656613471501543,0.6722349042629772,1.391820439665056,88.13559322033898
7,10.577573188002134,0.24181229088088624,0.18257107792840582,0.15842476183727708,0.006525362972613603,0.04842478995973449,0.03204575597367088,0.034596674407525126,0.011004541183531048,0.1832960545278164,3.392988589272099,5.91266388956588,6.087967543205353,42.016666666666666,False,1.8081722400113027,2.9383368160929217,3.0622946141559546,67.13333333333334,1.8561115366114234,2.8629948972790666,3.1401621530530086,91.75,0.25040211826286013,0.9495529084144148,1.0517343585240406,94.25756031260619,0.0920241732424537,0.6722349042629772,1.391820439665056,93.22033898305084
8,10.474028846998408,1.5603458993946946,1.5475254500787718,0.19948705588130958,0.007015814431020607,0.09380711756609286,0.08722444685192053,0.03154752950781142,0.014015154633074976,2.206418648496274,6.821836233389524,5.91266388956588,6.087967543205353,77.01666666666667,False,4.781488483015363,2.9383368160929217,3.0622946141559546,75.64999999999999,1.7012830537324448,2.8629948972790666,3.1401621530530086,90.33333333333333,0.2537840824014895,0.9495105533206353,1.051778904230312,93.94145677331518,0.2288256925155871,0.6722349042629772,1.391820439665056,96.61016949152543
9,10.68568840199805,0.31735262511160744,0.26386146218320694,0.17620690681753837,0.006398705303711183,0.05302205083727527,0.03630420441119262,0.03628558316542103,0.013292820295417243,0.6329221042595112,3.715457935502315,5.91266388956588,6.087967543205353,42.66666666666667,False,2.2143893301716253,2.9383368160929217,3.0622946141559546,64.88333333333334,1.8399708319938881,2.8629948972790666,3.1401621530530086,90.83333333333333,0.25148226262455775,0.9495698205057418,1.0517165722703705,94.83870967741936,0.18767948028423428,0.6722349042629772,1.391820439665056,83.05084745762711
10,10.598137832999782,0.32620548526293397,0.26176524393760786,0.1945375699805888,0.006641501935420196,0.06691169448929754,0.04282776266413167,0.05007086840654593,0.011656146088148382,0.39827990307244276,4.365255762594285,5.91266388956588,6.087967543205353,38.666666666666664,False,2.5711796682457946,2.9383368160929217,3.0622946141559546,63.800000000000004,1.7858898388839566,2.8629948972790666,3.1401621530530086,90.83333333333333,0.2487177553569657,0.9495782701487872,1.0517076859912249,95.34962661235573,0.12979232037872107,0.6722349042629772,1.391820439665056,98.30508474576271
