config,observable_frac,median_gdop,p95_gdop,median_logdet,mean_sigma_x,mean_sigma_y,pct_invertible
0-1,1.0,6.117600031411515,6.554677347267739,1.675742821907643,5.39383884138484,0.5559955077459029,100.0
0-2,1.0,8.93055873126108,9.736480528944666,0.9191759396647948,7.826070617113722,0.3900828971393349,100.0
0-3,1.0,295.92847776513736,1985.7652802956648,-6.081925489886625,570.3472784718822,8.013617749245682,100.0
1-2,1.0,18.734014985213346,22.22679455511898,-0.5624130241830463,17.869820375461426,1.3471418040063012,100.0
1-3,1.0,6.111810096110075,6.614367936195481,1.6778059865036687,5.496131910483993,0.4424531380812138,100.0
2-3,1.0,9.0342331570124,9.686791183623784,0.8961486475254009,7.9532009236873,1.1206793131951038,100.0
0-1-2,1.0,5.987519978580089,6.387581709390805,2.1241161794088814,5.231834933988007,0.28883613950785414,100.0
0-1-3,1.0,5.295626171045248,5.651753826156011,2.3698520236962954,4.668473559909954,0.26926898958713685,100.0
0-2-3,1.0,7.782099376038058,8.352950502555254,1.599957556873169,6.794366731444417,0.3269960759140095,100.0
1-2-3,1.0,5.961727876667988,6.4268357874768265,2.1329072335521633,5.305145660452449,0.33023703433007673,100.0
0-1-2-3,1.0,4.9600023098818395,5.29732668609179,2.788488857926437,4.362118438679731,0.23999730242367825,100.0
all_beacons,1.0,4.9600023098818395,5.29732668609179,2.788488857926437,4.362118438679731,0.23999730242367825,100.0
