t,true_x,true_y,true_z,est_x,est_y,est_z,pos_err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_used,nis_skipped,usv1_enabled,usv2_enabled,usv3_enabled,usv4_enabled
0.01,219.97708129882812,-229.97702026367188,-4.976943492889404,219.9771402224958,-229.9770794377804,-4.891857000539455,0.08508653332926297,1.000100000226,1.000100000226,0.0008991908091909919,8.051362528050761,8.051785064501374,nan,nan,True,True,True,True
0.02,219.97544860839844,-229.97518920898438,-4.975301265716553,219.97731653265953,-229.97715715788007,-4.9236700505318876,0.051702459761083404,1.0004000022520003,1.0004000022520003,0.0004735409575651038,5.629472643612266,6.8582100480673684,nan,nan,True,True,True,True
0.03,219.97393798828125,-229.9732666015625,-4.973775386810303,219.9776090639949,-229.97715423984528,-4.931722239316903,0.042391717851658614,1.0009000078780008,1.0009000078780008,0.0003818007133781436,4.6319403243719455,8.222825394179251,nan,nan,True,True,True,True
0.04,219.9725341796875,-229.9712677001953,-4.97236442565918,219.97801652845146,-229.97707157381774,-4.932626199090153,0.04053230499053929,1.0016000189040017,1.0016000189040017,0.0003696447579891272,4.272075122519069,10.438349608575477,nan,nan,True,True,True,True
0.05,219.9712371826172,-229.96920776367188,-4.971066951751709,219.95329162462252,-229.97640023916767,-4.93272290721577,0.042942292752851594,1.0004210192959389,1.0004210192959389,0.00018650104280495754,7.883792011590888,8.965941098847749,nan,nan,True,True,True,True
0.06,219.97006225585938,-229.96705627441406,-4.969882011413574,219.948875857614,-229.97605847996508,-4.938107252108728,0.03923695330010578,1.0006062562220204,1.0006062562220204,0.00016004534578058552,6.30896250752312,7.737564722566624,nan,nan,True,True,True,True
0.07,219.968994140625,-229.96482849121094,-4.968808650970459,219.94457145271704,-229.9756394177761,-4.943102282463296,0.03706968032871438,1.000825175036997,1.000825175036997,0.0001427839495447043,4.628805646594819,6.487256404226805,nan,nan,True,True,True,True
0.08,219.96803283691406,-229.9625244140625,-4.967845439910889,219.94037723006963,-229.97514378942142,-4.947794430559116,0.03641598825252646,1.0010777775408688,1.0010777775408688,0.00013139077442721672,3.0608257147997957,5.384216610735849,nan,nan,True,True,True,True
0.09,219.96719360351562,-229.96014404296875,-4.966991424560547,219.93629203390194,-229.9745724411261,-4.948962471650336,0.038576272772460736,1.001364065533636,1.001364065533636,0.00012394413095737447,2.623658754938534,5.388131033695858,nan,nan,True,True,True,True
0.1,219.96644592285156,-229.9576873779297,-4.966244697570801,219.92475986315947,-230.01281020743045,-4.943270537231781,0.07282901858535487,1.0009194577431317,1.0009194577431317,0.00010575720704646528,4.995562168270278,10.169502410144748,nan,nan,True,True,True,True
0.11,219.9658203125,-229.95516967773438,-4.96560525894165,219.92013366711745,-230.01597916612747,-4.943663824359015,0.0791611646988846,1.0011125240664216,1.0011125240664216,0.00010082061909701703,4.780858929219943,9.945393182927964,nan,nan,True,True,True,True
0.12,219.9652862548828,-229.9525604248047,-4.965071678161621,219.91561312593498,-230.01907469904575,-4.942641179392354,0.08599241648145811,1.0013239831434297,1.0013239831434297,9.737318504631894e-05,5.173882742726334,10.399981246999179,nan,nan,True,True,True,True
0.13,219.96485900878906,-229.94989013671875,-4.96464204788208,219.91119711982554,-230.02209748781803,-4.942415660173444,0.09266883073872362,1.0015538367741565,1.0015538367741565,9.503645973481442e-05,5.20621555357262,10.530136312810594,nan,nan,True,True,True,True
0.14,219.96453857421875,-229.9471435546875,-4.964316368103027,219.9068846499703,-230.02504841683418,-4.9450986446378815,0.09880517912803413,1.0018020867586022,1.0018020867586022,9.352199794679087e-05,3.958403247825487,9.451891336274265,nan,nan,True,True,True,True
0.15,219.9643096923828,-229.9443359375,-4.96409273147583,219.8704699949962,-230.0035207289857,-4.949066605729509,0.11195763843419464,1.001422791622841,1.001422791622841,8.338281980149539e-05,2.7200967030599688,11.357687935170595,nan,nan,True,True,True,True
0.16,219.9641876220703,-229.9414520263672,-4.96397066116333,219.86421328454477,-230.00470237841174,-4.9511689132183365,0.11899310882516086,1.0016187926576587,1.0016187926576587,8.226760035620961e-05,2.006066338013445,10.776327580898496,nan,nan,True,True,True,True
0.17,219.96417236328125,-229.93849182128906,-4.963948726654053,219.85805707552933,-230.00581454293635,-4.944520961994622,0.1271622632085984,1.0018274474230566,1.0018274474230566,8.155115341738573e-05,4.6440006767381705,13.547926298817716,nan,nan,True,True,True,True
0.18,219.96424865722656,-229.9354705810547,-4.96402645111084,219.85200022694414,-230.0068580511654,-4.9484663364071375,0.13393281210841856,1.002048757719035,1.002048757719035,8.112745465580427e-05,3.0020645560817534,12.071383929509881,nan,nan,True,True,True,True
0.19,219.9644317626953,-229.93238830566406,-4.964201927185059,219.84604169062362,-230.00783350537108,-4.949291259390818,0.14117547711285522,1.0022827253455937,1.0022827253455937,8.090965574168898e-05,2.7675184496237764,12.01630740096912,nan,nan,True,True,True,True
0.2,219.96470642089844,-229.92922973632812,-4.964474678039551,219.8672415764358,-229.9715205208297,-4.950576516844194,0.10714973282514144,1.001927526275538,1.001927526275538,7.398908949954445e-05,2.621906298619692,9.020608410278008,nan,nan,True,True,True,True
0.21,219.96507263183594,-229.92601013183594,-4.964843273162842,219.86283097536997,-229.97049907647053,-4.9515609084642325,0.11228999832394224,1.0021250614597281,1.0021250614597281,7.382688888432732e-05,2.4020669180407803,8.943632222382366,nan,nan,True,True,True,True
0.22,219.9655303955078,-229.9227294921875,-4.965307235717773,219.85851580518494,-229.9694119031221,-4.948782553455252,0.11791706897865946,1.0023322440178941,1.0023322440178941,7.376288564995843e-05,3.7155307992857436,10.399803907344328,nan,nan,True,True,True,True
0.23,219.96609497070312,-229.91937255859375,-4.965865612030029,219.85429503345972,-229.96825981823534,-4.95165784866793,0.12284563754015303,1.002549075750036,1.002549075750036,7.375847673454763e-05,2.751628835553802,9.670569374340236,nan,nan,True,True,True,True
0.24,219.96673583984375,-229.91595458984375,-4.966516971588135,219.85016489546953,-229.9670435625022,-4.9540190671846975,0.12788692589185954,1.002775558456154,1.002775558456154,7.378230941506622e-05,2.1331603401054964,9.20750515443665,nan,nan,True,True,True,True
